backlog_id,profile_id,stage_id,workflow,priority,evidence_gap_type,gap_basis,evidence_locator,source_id,next_action,status
eg-sp-0020-source-id,sp-0020,materials_qualification,Materials qualification,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0020-expert,sp-0020,materials_qualification,Materials qualification,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0021-source-id,sp-0021,magnets,Magnets,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0021-expert,sp-0021,magnets,Magnets,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0022-source-id,sp-0022,heating_and_current_drive,Heating and current drive,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0022-expert,sp-0022,heating_and_current_drive,Heating and current drive,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0023-source-id,sp-0023,plasma_facing_components,Plasma-facing components,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0023-expert,sp-0023,plasma_facing_components,Plasma-facing components,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0024-source-id,sp-0024,tritium_and_fuel_cycle,Tritium and fuel cycle,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0024-expert,sp-0024,tritium_and_fuel_cycle,Tritium and fuel cycle,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0024-observed-case,sp-0024,tritium_and_fuel_cycle,Tritium and fuel cycle,priority,no_directly_comparable_observed_case_exists,The submitted rationale states that pilot-scale tritium/fuel-cycle performance has not been demonstrated in a directly comparable case.,,,Preserve the limitation and use domain-reviewed analogies or explicitly bounded inference; do not fabricate an observed case.,open
eg-sp-0025-source-id,sp-0025,blankets,Blankets,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0025-expert,sp-0025,blankets,Blankets,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0025-observed-case,sp-0025,blankets,Blankets,priority,no_directly_comparable_observed_case_exists,The submitted rationale states that integrated blanket performance cannot yet be observed in a fusion-relevant test environment.,,,Preserve the limitation and use domain-reviewed analogies or explicitly bounded inference; do not fabricate an observed case.,open
eg-sp-0026-source-id,sp-0026,component_fabrication,Component fabrication,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0026-expert,sp-0026,component_fabrication,Component fabrication,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0027-source-id,sp-0027,construction,Construction,routine,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0027-expert,sp-0027,construction,Construction,routine,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0028-source-id,sp-0028,commissioning,Commissioning,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0028-expert,sp-0028,commissioning,Commissioning,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0029-source-id,sp-0029,reliability_demonstration,Reliability demonstration,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0029-expert,sp-0029,reliability_demonstration,Reliability demonstration,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0030-source-id,sp-0030,licensing,Licensing,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0030-expert,sp-0030,licensing,Licensing,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0031-source-id,sp-0031,grid_integration,Grid integration,priority,canonical_source_id_missing,Both pinned model submissions leave source_ids blank for this profile; agreement or an owner preference is not evidence.,,,Bank verified supporting sources later; do not invent or promote a source ID in this correction pass.,open
eg-sp-0031-expert,sp-0031,grid_integration,Grid integration,priority,regulatory_or_domain_expert_required,Every frozen fusion profile is routed for routine domain-informed review; licensing additionally requires a fusion-regulatory reviewer.,,,Assign a named fusion-domain reviewer; assign a regulatory reviewer for licensing.,open
eg-sp-0031-observed-case,sp-0031,grid_integration,Grid integration,priority,no_directly_comparable_observed_case_exists,The adopted owner rationale states that no directly comparable fusion-grid case exists.,,,Preserve the limitation and use domain-reviewed analogies or explicitly bounded inference; do not fabricate an observed case.,open
