candidate_source_id,promotion_disposition,canonical_source_id,review_status,promotion_reason,remaining_use_restriction,translation_or_domain_review_needed,last_verified,notes,promotion_date,verification_status,verified_locator
fusion-src-011,promoted,fusion-src-011,reviewed,"Issue #37 owner/PM approval; verified_official_secondary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Official media repeats company data and explicitly describes low-parameter operation; not independent experimental validation, net energy, or plant availability. Reviewed source identity does not supply independent validation; company/operator reports and repeated company data must not be used as independently observed empirical outcomes. Rejected use fusion-rej-009: HH70 is a small, non-DT research tokamak without a breeder blanket, turbine, integrated tritium plant, or commercial nuclear commissioning. Permitted limited use: Optimistic analogue for small research-device iteration only. Do not transfer elapsed time to a pilot plant. Rejected use fusion-rej-010: Pulse duration and energy-turnover metrics omit blanket life, tritium-plant availability, component replacement, turbine/grid systems, downtime, and capacity factor. Permitted limited use: Plasma/facility milestone with device, discharge, and metric definitions preserved. No evidence of plant availability is implied.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-CN-HH70-XH.",2026-09-01,verified_official_secondary,https://www.sh.news.cn/20260410/696d097c4a6c41b9af5f654314252a04/c.html
fusion-src-012,promoted,fusion-src-012,reviewed,"Issue #37 owner/PM approval; verified_company_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. First-party milestone; small non-DT device without blanket, tritium plant, turbine, or commercial licensing. Reviewed source identity does not supply independent validation; company/operator reports and repeated company data must not be used as independently observed empirical outcomes. Rejected use fusion-rej-009: HH70 is a small, non-DT research tokamak without a breeder blanket, turbine, integrated tritium plant, or commercial nuclear commissioning. Permitted limited use: Optimistic analogue for small research-device iteration only. Do not transfer elapsed time to a pilot plant.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-CN-HH70-CO.",2026-09-01,verified_company_primary,https://energysingularity.cn/en/news/news-025.html
fusion-src-014,promoted,fusion-src-014,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Magnet engineering does not validate the 1,337-second AI causal claim or a fusion power plant.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: S-CN-HH70-CO.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1016/j.supcon.2024.100137
fusion-src-016,promoted,fusion-src-016,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Post-cutoff component milestones; not full system assembly, commissioning, or power operation. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed.","Fusion-domain review before profile use; no review performed in this source-promotion task. Machine-assisted translation checked against the Chinese page; component fractions and acceptance verbs preserved. Required reviewer: native Chinese reviewer, with engineering specialist review for technical wording.",2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-CN-MFG.",2026-09-01,verified_official_primary,https://www.gzw.sh.gov.cn/shgzw_zxzx_gqdt/20260814/67baeb6d5610423b90eeb0f3039f7cd3.html
fusion-src-017,promoted,fusion-src-017,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Research tokamak; does not establish pilot-plant transfer, safety, reliability, or reduced nuclear commissioning time.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed experimental result. Pack source: S-AI-TCV.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s41586-021-04301-9
fusion-src-018,promoted,fusion-src-018,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Early proof of concept on a research device; not universal disruption avoidance or a nuclear-safety system.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed experimental result. Pack source: S-AI-DIII-D.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s41586-024-07024-9
fusion-src-019,promoted,fusion-src-019,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Device- and scenario-specific experiment; the pack's simplified 'up to 90%' line is not promoted without a metric-matched locator. Rejected use fusion-rej-005: The paper reports several device- and metric-specific changes; the pack's compressed percentage omits the exact metric, denominator, device, and condition. Permitted limited use: Cite the peer-reviewed cross-device experiment qualitatively or extract a metric-specific value with a Results/figure locator. The source remains staged; only the simplified number is rejected.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed experimental result. Pack source: S-AI-KSTAR-D3D.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s41467-024-48415-w
fusion-src-020,promoted,fusion-src-020,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Offline, small-target-domain proof of concept; not live transfer to a future pilot plant.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: S-AI-TRANSFER.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s42005-023-01296-9
fusion-src-021,promoted,fusion-src-021,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Retrospective/synthetic diagnostic reconstruction; not a qualified replacement for safety instrumentation.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: S-AI-DIAG.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s41467-025-63492-1
fusion-src-022,promoted,fusion-src-022,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Model benchmark; not a closed-loop or safety-qualified deployment.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: unassigned_pack_table.",2026-09-01,verified_peer_reviewed,https://doi.org/10.1038/s41598-023-42991-5
fusion-src-023,promoted,fusion-src-023,reviewed,"Issue #37 owner/PM approval; verified_peer_reviewed in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. The present method covers 15 tiles in a small part of SPARC's exhaust geometry and is tied to that design; it is not plant-level schedule acceleration, materials qualification, or a generic plasma-facing-component result.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: proof of concept. Pack source: unassigned_pack_table. Exact PPPL publisher locator verified; linked paper: Fusion Engineering and Design 217 (2025) 115010, DOI 10.1016/j.fusengdes.2025.115010.",2026-09-01,verified_peer_reviewed,https://www.pppl.gov/news/2025/finding-shadows-fusion-system-faster-ai
fusion-src-024,promoted,fusion-src-024,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Programme announcement and capability intent, not an observed AI-shortened research cycle; its 'NSTX-U this year' wording was superseded by a 2027 experiment target.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: programme announcement. Pack source: S-US-STELLAR.",2026-09-01,verified_official_primary,https://www.pppl.gov/news/2026/pppl-launches-stellar-ai-platform-accelerate-fusion-energy-research
fusion-src-025,promoted,fusion-src-025,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Programme announcement; no observed plant-design, construction, or grid schedule reduction.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: programme announcement. Pack source: S-US-STELLFOUNDRY.",2026-09-01,verified_official_primary,https://www.pppl.gov/news/2026/bringing-fusion-energy-grid-using-artificial-intelligence
fusion-src-026,promoted,fusion-src-026,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. MPEX does not itself supply a fusion-spectrum neutron field; intended capability is not an observed qualification programme. Rejected use fusion-rej-011: MPEX is a plasma-materials exposure facility under assembly; it can test already neutron-irradiated specimens but is not itself a fusion-spectrum neutron source. Permitted limited use: Official intended capability for reactor-edge plasma exposure. Do not call intended capability completed qualification.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: programme announcement. Pack source: S-US-MPEX.",2026-09-01,verified_official_primary,https://mpex.ornl.gov/murf-2026/
fusion-src-027,promoted,fusion-src-027,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Announced/developing capability, not demonstrated materials qualification or component-life acceleration.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: programme announcement. Pack source: S-US-MPEX-AI.",2026-09-01,verified_official_primary,https://www.ornl.gov/research-highlight/ai-accelerated-fusion-materials-test-facility
fusion-src-028,promoted,fusion-src-028,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Official roadmap and targets, not observed reductions in materials, blanket, tritium, licensing, or construction time.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: programme announcement. Pack source: S-US-DOE-ROAD;S-US-DCP.",2026-09-01,verified_official_primary,https://www.energy.gov/documents/fusion-science-and-technology-roadmap
fusion-src-029,promoted,fusion-src-029,reviewed,"Issue #37 owner/PM approval; verified_company_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Facility milestone, not an AI result or a directly comparable nuclear commissioning programme. Reviewed source identity does not supply independent validation; company/operator reports and repeated company data must not be used as independently observed empirical outcomes.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-US-DIII-D.",2026-09-01,verified_company_primary,https://www.ga.com/diii-d-national-fusion-program-completes-facility-upgrade
fusion-src-030,promoted,fusion-src-030,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Living-page project status, not a fixed historical statistic, completed recommissioning, or an experimental outcome. Promotion freshness check 2026-09-01: PPPL Recovery Project section still states 93%; retain the 2026-08-31 evidence vintage, mutable-status caveat, and revisit trigger.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-US-NSTXU. Freshness trigger: recheck before promotion and whenever PPPL changes the Recovery Project timeline/status or announces recommissioning or experiments. Promotion freshness check 2026-09-01: PPPL Recovery Project section still states 93%; retain the 2026-08-31 evidence vintage, mutable-status caveat, and revisit trigger.",2026-09-01,verified_official_primary,https://www.pppl.gov/nstx-u
fusion-src-031,promoted,fusion-src-031,reviewed,"Issue #37 owner/PM approval; verified_company_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Company target and living page; no observed Q>1 result or grid connection. Reviewed source identity does not supply independent validation; company/operator reports and repeated company data must not be used as independently observed empirical outcomes. Rejected use fusion-rej-013: Targets and programme announcements do not demonstrate net energy, electricity export, fuel self-sufficiency, availability, or grid connection. Permitted limited use: Target tracking with owner, date, pathway, and target status preserved. No target is typed as an observed result. Promotion freshness check 2026-09-01: CFS SPARC milestones still place construction in progress and first plasma/net energy in the future; no outcome approval.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: company target. Pack source: S-US-SPARC. Freshness must be rechecked at promotion because the page is undated and mutable. Promotion freshness check 2026-09-01: CFS SPARC milestones still place construction in progress and first plasma/net energy in the future; no outcome approval.",2026-09-01,verified_company_primary,https://www.cfs.energy/technology/
fusion-src-032,promoted,fusion-src-032,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Different discharges/metrics; neither is net energy, DT operation, plant availability, or blanket life. Direct public quotation or load-bearing translated wording remains blocked until the stated native-language/specialist review is completed. Rejected use fusion-rej-010: Pulse duration and energy-turnover metrics omit blanket life, tritium-plant availability, component replacement, turbine/grid systems, downtime, and capacity factor. Permitted limited use: Plasma/facility milestone with device, discharge, and metric definitions preserved. No evidence of plant availability is implied.",Fusion-domain review before profile use; no review performed in this source-promotion task. German source checked; preserve that 43 s and 360 s / 1.8 GJ describe different records. Required reviewer: native German fusion specialist.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed experimental result. Pack source: S-DE-W7X.",2026-09-01,verified_official_primary,https://www.ipp.mpg.de/5532474/w7x
fusion-src-033,promoted,fusion-src-033,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Low-power research commissioning milestone; not high-power operation, DT commissioning, or commercial reliability.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-JP-JT60.",2026-09-01,verified_official_primary,https://www.jt60sa.org/wp/first-plasma-23-october/
fusion-src-034,promoted,fusion-src-034,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Mixed current facility milestone and future target; not proof that the experimental campaign or high-power commissioning is complete.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: official target. Pack source: S-JP-JT60.",2026-09-01,verified_official_primary,https://www.jt60sa.org/wp/op2-has-started/
fusion-src-035,promoted,fusion-src-035,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Undated living programme page and official target; no observed construction, tritium self-sufficiency, or grid output. Rejected use fusion-rej-013: Targets and programme announcements do not demonstrate net energy, electricity export, fuel self-sufficiency, availability, or grid connection. Permitted limited use: Target tracking with owner, date, pathway, and target status preserved. No target is typed as an observed result. Promotion freshness check attempted 2026-09-01: web retrieval timed out and direct HTTPS retrieval failed certificate validation (expired certificate). Last successful source verification remains 2026-08-31. Source identity promoted from the verified PR #36 bank only; refresh the original STEP page successfully before public use or load-bearing use of its current target wording.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: official target. Pack source: S-UK-STEP. Recheck living-page wording before promotion. Promotion freshness check attempted 2026-09-01: web retrieval timed out and direct HTTPS retrieval failed certificate validation (expired certificate). Last successful source verification remains 2026-08-31. Source identity promoted from the verified PR #36 bank only; refresh the original STEP page successfully before public use or load-bearing use of its current target wording.",2026-09-01,verified_official_primary,https://step.ukaea.uk/about/
fusion-src-036,promoted,fusion-src-036,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Official baseline proposal, not observed completion; later phases add nuclear/tritium systems.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: official target. Pack source: S-ITER-BASE.",2026-09-01,verified_official_primary,https://www.iter.org/project/assembly-overview
fusion-src-037,promoted,fusion-src-037,reviewed,"Issue #37 owner/PM approval; verified_official_primary in corrected PR #36 bank; exact inventory/staging identity and locator match; non-placeholder; no collision, duplicate, or source-level exclusion.","Source-record review only; no claim approval, S-value selection, or profile approval. Fusion-domain review remains pending before profile use. Observed construction/facility milestone only; not an AI result, integrated chamber completion, commissioning, or plant completion.",Fusion-domain review before profile use; no review performed in this source-promotion task.,2026-08-31,"Issue #35 provenance retained; stable ID, no crosswalk. Evidence category: observed facility milestone. Pack source: S-ITER-2026.",2026-09-01,verified_official_primary,https://www.iter.org/node/20687/millions-data-points-one-successful-lift
