claim_id,profile_id,stage_id,s_dimension,claim_text,claim_type,evidence_basis,pack_source_ids,candidate_source_ids,support_direction,directness,scope_match,pathway_match,lifecycle_match,quantitative_value,unit,denominator,time_period,source_locator,counterevidence_or_confounder,verification_status,review_route,notes
fusion-clm-022,sp-0018,plasma_control,S2,The verified source set directly informs feedback speed for Plasma control within the frozen research-to-pilot pathway.,observed experimental result,observed experimental result,S-CN-HL3-AI;S-AI-TCV;S-AI-DIII-D;S-AI-KSTAR-D3D,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-023,sp-0018,plasma_control,S3,The verified source set directly informs experiment affordability and throughput for Plasma control within the frozen research-to-pilot pathway.,observed experimental result,observed experimental result,S-CN-HL3-AI;S-AI-TCV;S-AI-DIII-D;S-AI-KSTAR-D3D,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-024,sp-0018,plasma_control,S4,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Plasma control; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-HL3-AI;S-AI-TCV;S-AI-DIII-D;S-AI-KSTAR-D3D,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-025,sp-0018,plasma_control,S5,The verified source set complicates any simple claim about intrinsic error tolerance for Plasma control; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-HL3-AI;S-AI-TCV;S-AI-DIII-D;S-AI-KSTAR-D3D,fusion-src-007;fusion-src-017;fusion-src-018;fusion-src-019,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-026,sp-0019,materials_discovery_and_screening,S1,The verified source set informs information intensity for Materials discovery and screening only by bounded analogy or adjacent-stage evidence.,inference,inference,S-US-MPEX-AI;S-US-DOE-ROAD;S-US-DCP,fusion-src-027;fusion-src-028,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-027,sp-0019,materials_discovery_and_screening,S2,A bounded first-pass search located no suitable source directly supporting a claim about feedback speed for Materials discovery and screening; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-028,sp-0019,materials_discovery_and_screening,S3,A bounded first-pass search located no suitable source directly supporting a claim about experiment affordability and throughput for Materials discovery and screening; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-029,sp-0019,materials_discovery_and_screening,S4,The verified source set complicates any simple claim about physical flexibility or elapsed-time floors for Materials discovery and screening; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-US-MPEX-AI;S-US-DOE-ROAD;S-US-DCP,fusion-src-027;fusion-src-028,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-030,sp-0019,materials_discovery_and_screening,S5,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Materials discovery and screening; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-031,sp-0020,materials_qualification,S1,The verified source set informs information intensity for Materials qualification only by bounded analogy or adjacent-stage evidence.,inference,inference,targeted_ifmif_dones;S-CN-ROADMAP;S-US-MPEX;S-US-MPEX-AI;S-US-DOE-ROAD;S-US-DCP;S-ITER-TRITIUM,fusion-src-046;fusion-src-045;fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-032,sp-0020,materials_qualification,S2,IFMIF-DONES design and programme-target sources directly establish a planned multi-year irradiation-and-post-irradiation-examination feedback chain for materials qualification; they do not report a completed dataset.,official target,official target,targeted_ifmif_dones;S-CN-ROADMAP;S-US-MPEX;S-US-MPEX-AI;S-US-DOE-ROAD;S-US-DCP;S-ITER-TRITIUM,fusion-src-046;fusion-src-045;fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,supports,direct,exact_stage,frozen_tokamak_pathway,designed_under_development_not_completed,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,owner_promotion_scope_exception,Coverage statement only; this row does not select or recode an S value.
fusion-clm-033,sp-0020,materials_qualification,S3,"IFMIF-DONES planned irradiation volumes and modular campaigns inform qualification throughput only indirectly; they do not establish observed affordability, completed throughput, or acceptance.",inference,inference,targeted_ifmif_dones;S-CN-ROADMAP;S-US-MPEX;S-US-MPEX-AI;S-US-DOE-ROAD;S-US-DCP;S-ITER-TRITIUM,fusion-src-046;fusion-src-045;fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-034,sp-0020,materials_qualification,S4,IFMIF-DONES design and programme-target sources directly support a substantial physical materials-qualification time floor: roughly 2.5-3 full-power years of irradiation before the remaining examination and acceptance chain.,official target,official target,targeted_ifmif_dones;S-CN-ROADMAP;S-US-MPEX;S-US-MPEX-AI;S-US-DOE-ROAD;S-US-DCP;S-ITER-TRITIUM,fusion-src-046;fusion-src-045;fusion-src-003;fusion-src-026;fusion-src-027;fusion-src-028;fusion-src-038,supports,direct,exact_stage,frozen_tokamak_pathway,designed_under_development_not_completed,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,owner_promotion_scope_exception,Coverage statement only; this row does not select or recode an S value.
fusion-clm-035,sp-0020,materials_qualification,S5,A bounded first-pass search located no suitable source directly supporting a claim about intrinsic error tolerance for Materials qualification; this is not evidence of absence.,commentary,commentary,missing,missing,unresolved,none,not_assessable,frozen_tokamak_pathway,not_assessable,missing,missing,missing,through_2026-08-31,missing,No evidence located is not evidence of absence.,unresolved_bounded_search,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-036,sp-0021,magnets,S1,The verified source set informs information intensity for Magnets only by bounded analogy or adjacent-stage evidence.,inference,inference,S-CN-CRAFT-TF;S-CN-HH70-CO,fusion-src-002;fusion-src-012;fusion-src-014,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-037,sp-0021,magnets,S2,The verified source set directly informs feedback speed for Magnets within the frozen research-to-pilot pathway.,observed facility milestone,observed facility milestone,S-CN-CRAFT-TF;S-CN-HH70-CO,fusion-src-002;fusion-src-012;fusion-src-014,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-038,sp-0021,magnets,S3,The verified source set complicates any simple claim about experiment affordability and throughput for Magnets; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-CRAFT-TF;S-CN-HH70-CO,fusion-src-002;fusion-src-012;fusion-src-014,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-039,sp-0021,magnets,S4,The verified source set directly informs physical flexibility or elapsed-time floors for Magnets within the frozen research-to-pilot pathway.,observed facility milestone,observed facility milestone,S-CN-CRAFT-TF;S-CN-HH70-CO,fusion-src-002;fusion-src-012;fusion-src-014,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-040,sp-0021,magnets,S5,The verified source set complicates any simple claim about intrinsic error tolerance for Magnets; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-CRAFT-TF;S-CN-HH70-CO,fusion-src-002;fusion-src-012;fusion-src-014,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-041,sp-0022,heating_and_current_drive,S1,The verified source set informs information intensity for Heating and current drive only by bounded analogy or adjacent-stage evidence.,inference,inference,S-CN-HL3;S-US-DIII-D;S-JP-JT60,fusion-src-005;fusion-src-029;fusion-src-034,supports_with_limits,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-042,sp-0022,heating_and_current_drive,S2,The verified source set directly informs feedback speed for Heating and current drive within the frozen research-to-pilot pathway.,observed facility milestone,observed facility milestone,S-CN-HL3;S-US-DIII-D;S-JP-JT60,fusion-src-005;fusion-src-029;fusion-src-034,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-043,sp-0022,heating_and_current_drive,S3,The verified source set complicates any simple claim about experiment affordability and throughput for Heating and current drive; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-HL3;S-US-DIII-D;S-JP-JT60,fusion-src-005;fusion-src-029;fusion-src-034,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-044,sp-0022,heating_and_current_drive,S4,The verified source set directly informs physical flexibility or elapsed-time floors for Heating and current drive within the frozen research-to-pilot pathway.,observed facility milestone,observed facility milestone,S-CN-HL3;S-US-DIII-D;S-JP-JT60,fusion-src-005;fusion-src-029;fusion-src-034,supports,direct,exact_stage,frozen_tokamak_pathway,matched,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
fusion-clm-045,sp-0022,heating_and_current_drive,S5,The verified source set complicates any simple claim about intrinsic error tolerance for Heating and current drive; physical scope and lifecycle distinctions remain load-bearing.,inference,inference,S-CN-HL3;S-US-DIII-D;S-JP-JT60,fusion-src-005;fusion-src-029;fusion-src-034,complicates,indirect,partial,frozen_tokamak_pathway,partial,missing,missing,missing,through_2026-08-31,See source_inventory_v1.csv key_claims and numerical_claims_and_locators fields.,"Pathway, lifecycle, jurisdiction, denominator, and metric definitions must not be collapsed.",verified_inventory_mapping,routine_domain_review_no_owner_action,Coverage statement only; this row does not select or recode an S value.
