profile_id,stage_id,parent_stage_id,sector,workflow,pathway_id,application_context,lifecycle_phase,critical_path_role,S1,S2,S3,S4,S5,rationale,source_ids,coding_confidence,disagreement_summary,selected_review_ids,evidence_basis,coding_as_of,last_reviewed,revisit_triggers,proposed_by,proposed_model,reviewed_by,independent_review_by,approved_by,coding_status,review_status,version,changelog_note
prf-000022,heating_and_current_drive,plant_subsystems,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000023,plasma_facing_components,plant_subsystems,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000024,tritium_and_fuel_cycle,plant_subsystems,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000025,blankets,plant_subsystems,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000026,component_fabrication,build,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000027,construction,build,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000028,commissioning,demonstration_and_assurance,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000029,reliability_demonstration,demonstration_and_assurance,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000030,licensing,approval_and_connection,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
prf-000031,grid_integration,approval_and_connection,"Fusion, magnetic confinement",,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",,not_assessed,,,,,,,,,,,expert-coded,,,,,,,,,proposed,staged,,
