work_id,authors,year,venue,unit_of_analysis,what_it_establishes,overlap_with_project,gap_it_leaves,url_or_doi,verified_date
rw-011,"Yin; Vu; Persico",2026,NBER Working Paper 35110,Occupational task exposure coding,"Demonstrates substantial instability across LLM-generated exposure measures",Coding provenance and uncertainty,"Diagnoses exposure measurement but does not replace it with sector-stage conversion evidence",https://doi.org/10.3386/w35110,2026-08-27
rw-012,Jeffrey Ding,2024,Princeton University Press,Country across historical technological revolutions,"Argues that broad diffusion and institutional adaptation shape great-power gains from general-purpose technologies",Diffusion and national power,"Historical national diffusion theory does not specify current AI sector-stage pathways",https://doi.org/10.2307/jj.12228596,2026-08-27
rw-013,"Jeffrey Ding; Allan Dafoe",2023,European Journal of International Security,Military transformation and industrial base,"Argues GPT military effects are broad delayed and mediated by productivity spillovers and industrial linkages",Conversion to strategic power,"Does not empirically resolve present US-China AI conversion by sector",https://doi.org/10.1017/eis.2023.1,2026-08-27
rw-014,"Filippucci; Gal; Laengle; Schief; Yildirim",2026,OECD Artificial Intelligence Papers 57,Country-sector general-equilibrium model,"Models cross-country income effects of AI adoption trade and knowledge spillovers",Macro conversion scenarios,"Modeled scenarios are not observed outcomes and depend on adoption assumptions",https://doi.org/10.1787/13081644-en,2026-08-27
rw-015,World Bank Group,2026,Navigating the Age of AI: Implications for Poland's Economy,Country-sector CGE model,"Introduces MANAGE-AI with task heterogeneity diffusion curves and labor-mobility scenarios",Macro conversion scenarios,"One-country modeled scenarios do not validate stage-level mechanisms elsewhere",https://documents1.worldbank.org/curated/en/099061826172092709/pdf/P509025-29f4eeae-a12c-4e58-af9e-bf5a87115faf.pdf,2026-08-27
rw-016,International Monetary Fund,2024,AI Preparedness Index,Country composite,"Organizes digital infrastructure human capital innovation integration and regulation inputs to AI preparedness",Country modifiers,"A preparedness composite is not observed conversion or a defensible project outcome score",https://www.imf.org/external/datamapper/datasets/AIPI,2026-08-27
rw-017,"Kokotajlo; Lifland; Halstead; Larsen; Alexander; Dean",2025,AI 2027,Scenario trajectory,"Makes explicit assumptions about AI R&D automation compute competition and rapid takeoff",Scenario premise audit,"Scenario conclusions depend on its ontology and should not be graded as observed facts",https://ai-2027.com/scenario.pdf,2026-08-27
rw-018,AI Futures Project,2026,AI 2040 Plan A,Policy scenario,"Explores a conditional international regime for slowing and distributing superhuman AI development",Scenario premise audit,"A recommended conditional plan is not a baseline prediction",https://ai-2040.com/print/scenario?book=1&plan=A,2026-08-27
rw-019,"Lifland; Halstead; Kastner; Kokotajlo",2025,AI Futures Model,Timelines and takeoff model,"Makes capability progress AI R&D automation and takeoff assumptions inspectable",Scenario premise audit,"Model structure does not establish physical or institutional conversion pathways",https://www.aifuturesmodel.com/about,2026-08-27
rw-020,"Arvind Narayanan; Sayash Kapoor",2025,AI as Normal Technology,Technology diffusion and institutions,"Frames AI impacts as unfolding through adoption institutions reliability and social response",Diffusion-centered counter-scenario,"Essay does not provide a sector-stage empirical coding system",https://www.normaltech.ai/p/ai-as-normal-technology,2026-08-27
rw-021,Epoch AI,2024,Epoch AI Data Hub,Model and compute dataset,"Provides transparent machine-learning model and compute datasets with reusable data-hub conventions",Data and figure practice,"Capability and compute records do not establish national conversion outcomes",https://epoch.ai/latest/announcing-epoch-ai-data-hub,2026-08-27

