claim_id,claim,claim_type,evidence_type,source_ids,counterevidence_source_ids,confidence,geography,sector,product_use_status,caveat,owner,last_reviewed,notes
clm-0011,"Converting AI investment into TFP gains in Chinese firms requires shedding routine labor while adding non-routine high-skill labor, cutting against social-stability mandates",observed_statistic,working_paper,src-v1-dr-016,,medium,china,adaptation-distribution,staged,Working paper; URL incomplete in staged research; verify before public use,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Mechanism evidence for adaptation-stress pillar
clm-0012,"MOHRSS is preparing a dedicated policy document on coping with AI's employment impact, alongside subsidized retraining programs",official_program_claim,media_report,src-v1-dr-017,,medium,china,adaptation-distribution,staged,Media relay of ministry statement; primary document not yet located,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Signal that Beijing anticipates AI-driven labor friction
clm-0013,The US AI Action Plan states the bottleneck to capturing AI's benefits is not model availability but slow adoption inside large organizations and critical sectors,official_program_claim,official_document,src-0018,,high,united-states,organizational-diffusion,approved_with_caveat,"Official framing by the White House; itself a claim about the economy, not a measured outcome",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0014,"US grid interconnection queues stretch to multiple years, and NERC reliability assessments flag data-center-driven load growth as an emerging risk",observed_statistic,dataset,src-0012; src-0013,,high,united-states,compute-energy,approved,Queue duration varies by region; NERC assessments are forward-looking risk statements,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0015,FERC Orders 2023 and 1920 are active federal reforms aimed at interconnection and regional transmission bottlenecks,observed_statistic,official_document,src-0014; src-0015,,high,united-states,compute-energy,approved,Reform adopted is not reform delivered; implementation timelines run to the 2030s,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0016,Federal AI adoption is an explicit US policy channel via OMB M-25-21/M-25-22 and agency adoption strategies,official_program_claim,official_document,src-0019; src-0020; src-0021,,high,united-states,state-capacity,approved_with_caveat,"Procurement intent, not demonstrated demand at scale yet",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0017,"Across OECD countries about 20% of firms report using AI, roughly doubling from 8.7% two years earlier, with large firms adopting at ~3x the rate of small firms",observed_statistic,official_statistic,src-v1-dr-006; src-v1-dr-007,,high,oecd,organizational-diffusion,staged,Extensive-margin measure; survey definitions differ across agencies,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Figures consistent across Eurostat and OECD releases; promote sources before public use
clm-0018,"In ECB SAFE round 37 for October-December 2025, 27% of sampled euro-area firms reported no AI use, 33% very infrequent or experimental use, 31% moderate use, and 7% significant use",observed_statistic,survey,src-0038; src-0039; src-0040,,high,euro-area,organizational-diffusion,approved_with_caveat,"All firms responding to SAFE QA1, weighted; 5,067-firm Q4 ECB-round sample across 12 euro-area countries with sector exclusions. The four whole-number categories total 98%; the residual may reflect don't-know responses and rounding, so do not derive 73% any use.",Codex,2026-07-11,Canonical Figure 1 Panel A claim; self-reported intensity
clm-0019,US adoption figures diverge sharply by weighting: 17-20% firm-weighted (Census BTOS) versus ~78% employment-weighted exposure (Fed SBU),observed_statistic,official_statistic,src-v1-dr-008; src-v1-dr-009,,high,united-states,organizational-diffusion,staged,"Different surveys, definitions, and respondent pools; a weighting artifact, not a contradiction",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Median firm is a non-adopter; median worker is at an adopting firm
clm-0020,IMF modeling projects Europe's medium-term TFP gain from AI at roughly 1% cumulative over five years; OECD projects +0.4-1.3pp annual labor-productivity growth over ten years in high-exposure G7 economies,model_estimate,working_paper,src-v1-dr-011; src-v1-dr-012,,medium,europe; g7,realized-outcomes,staged,"Model estimates, not observed outcomes; ranges depend on adoption and regulation assumptions",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Keep projected and observed gains visually separate in product
clm-0021,"Computing infrastructure reached roughly 1.5% of US GDP in Q1 2026 (AI-specific ~0.8%), making the buildout channel the dominant near-term macroeconomic effect of AI",model_estimate,data_insight,src-v1-dr-004,,medium,united-states,compute-energy,staged,"Epoch trend-decomposition estimate, not an official BEA line item",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Supports the essay's investment-before-payoff argument
clm-0022,"AI's current GDP footprint runs mostly through investment and some government spending, not consumption or exports; it measures the size of the bet, not the payoff",analytical_frame,derived,src-v1-dr-004; src-v1-dr-011,,medium,united-states; china,cross-cutting,staged,Framing claim grounded in staged capex and model-estimate sources,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Core essay argument; approve once supporting sources are promoted
clm-0023,"Frontier-model 50% time horizons are doubling roughly every 4-7 months, reaching ~5 hours of expert human task time by early 2026",model_estimate,research_blog,src-v1-dr-001,,medium,global,frontier-access,staged,Wide confidence intervals; benchmark tasks are cleaner than real work; 50% success is far below deployment reliability,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Upstream capability-layer claim only; never a country score
clm-0024,"AI capability is jagged across domains: agentic computer-use horizons are 40-100x shorter than software/reasoning horizons, and physical domains progress far slower",model_estimate,research_blog,src-v1-dr-002,,high,global,cross-cutting,staged,Domain coverage of benchmarks is partial,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Empirical anchor for the frontier-sensitivity axis of Figure 1
clm-0025,A 50% time horizon does not imply an enterprise can safely delegate tasks of that length; economically valuable workflows demand >99% reliability,methodological,research_note,src-v1-dr-003,,high,global,cross-cutting,staged,METR's own stated limitation,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Required caveat whenever time horizons appear in product copy
clm-0026,The US-China gap in top AI model benchmark performance has effectively closed,observed_statistic,academic_index,src-0001,,medium,china; united-states,frontier-access,approved_with_caveat,Benchmark performance is not deployed capability; index methodology changes year to year,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0027,"US firms captured ~75% of 2025 global AI venture capital (~$194B) versus ~5% (~$13.9B) for China, implying divergent diffusion financing models",observed_statistic,dataset,src-v1-dr-019,,medium,china; united-states,frontier-access,staged,Staged source lacks primary OECD URL; VC location data has known attribution issues,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Promote primary source before public use
clm-0028,"Occupational exposure to generative AI is concentrated in high-skill, digitized, urban work, implying uneven distribution of early gains",observed_statistic,dataset,src-0036; src-0037,,high,global,adaptation-distribution,approved_with_caveat,Exposure is not displacement; realized effects depend on augmentation vs automation,Jinhua Yip (drafted by Claude Fable 5),2026-07-05,
clm-0029,"Frontier capability converts fastest where work is digital and feedback-rich (AI R&D, coding, cyber) and stalls where output depends on hardware, regulation, procurement, and trust (manufacturing, healthcare, public services)",hypothesis,derived,src-v1-dr-002; src-0018,,medium,global,cross-cutting,approved_with_caveat,"Ordinal judgment synthesizing METR domain evidence and adoption patterns; Figure 1 placements are illustrative, not scored",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,The central Atlas thesis; falsifiable via the signpost list in the launch essay
clm-0030,"If open-weight models compress the useful frontier gap, frontier sensitivity collapses as an axis and conversion capacity dominates outcomes",scenario_assumption,derived,,,low,global,cross-cutting,staged,"Scenario assumption, not a forecast; no probability estimated",Jinhua Yip (drafted by Claude Fable 5),2026-07-05,Feeds the scenario assumption browser
clm-0031,"METR's early-2025 finding that experienced open-source developers completed tasks 19% more slowly with AI is historical and out of date for current tools; METR's February 2026 follow-up says wider adoption likely changed productivity effects but selection makes the newer estimate unreliable",methodological,working_paper,src-v2-dr-010; src-v2-dr-025,,medium,united-states,realized-outcomes,staged,"The proper current conclusion is measurement uncertainty, not a durable slowdown or a reliable speedup estimate",Codex,2026-07-11,Staged until the original study and methodology update are promoted together
clm-0032,"In ECB SAFE round 37 for October-December 2025, headline use includes the 33% of sampled euro-area firms reporting very infrequent or pilot/experimental use",methodological,survey,src-0038; src-0039; src-0041,,high,euro-area,organizational-diffusion,approved_with_caveat,"Denominator is all firms responding to SAFE QA1, weighted, in the 5,067-firm Q4 ECB-round private-sector sample across 12 euro-area countries; eight smallest euro-area countries and documented sectors are excluded. This is a source-specific category interpretation; do not infer a harmonized deep-use threshold or calculate a 73% any-use share from the 27% no-use value.",Codex,2026-07-11,Supports the observation that adoption is not integration
clm-0033,"During the November 2025-January 2026 supplement reference period, the Census CES working paper reports that 18% of in-scope U.S. employer businesses reported AI use in at least one business function under the prior-two-week Q23 item",observed_statistic,working_paper,src-0046; src-0047; src-0048,,high,united-states,organizational-diffusion,approved_with_caveat,"Firm-weighted denominator is businesses responding to Q23 within the nonfarm employer-business BTOS universe and documented exclusions. The paper headline rounds to 18%; Table C.7 reports 17.9%. Revised wording began 2025-11-17.",Codex,2026-07-11,Working-paper descriptive statistic; not an official Census headline release
clm-0034,"During the November 2025-January 2026 supplement reference period, about 57% of firm-weighted Q24 functional AI users used AI in one to three of 15 business functions over the prior six months, while a latent-class estimate classified about 4% of Q24 users as comprehensive adopters",observed_statistic,working_paper,src-0046; src-0047; src-0048,,high,united-states,organizational-diffusion,approved_with_caveat,"Denominator is firms reporting AI use in at least one Q24 function within the nonfarm U.S. employer-business universe covering single- and multi-location businesses in the United States, District of Columbia, and Puerto Rico, subject to documented industry exclusions; it is not the Q23 prior-two-week adopter group. The 4% is model-derived, does not mean use in every function, and does not form a partition with 57%.",Codex,2026-07-11,Canonical Figure 1 Panel B breadth claim
clm-0035,"CES Working Paper 26-25 reports descriptive correlations between AI integration breadth and firm outcomes in the November 2025-January 2026 BTOS supplement; it does not estimate causal effects",methodological,working_paper,src-0048,,high,united-states,realized-outcomes,approved,"The study universe is nonfarm U.S. employer businesses, single- and multi-location, in the United States, District of Columbia, and Puerto Rico, subject to documented BTOS industry exclusions; the analysis uses supplement respondents. The paper states that regressions have no causal interpretation and that CES papers do not imply Census Bureau endorsement.",Codex,2026-07-11,Blocks causal productivity language from the adoption-depth evidence
clm-0036,"For 2025, Eurostat reports that 19.95% of in-scope EU enterprises used at least one listed AI technology; the shares were 17% for small enterprises, 30.36% for medium enterprises, and 55.03% for large enterprises",observed_statistic,official_statistic,src-0042; src-0043; src-0044,,high,european-union,organizational-diffusion,approved_with_caveat,"Denominators are enterprises with 10+ employees and self-employed persons in covered NACE activities, with size-specific subgroups; micro-enterprises are outside the harmonized core. This is adoption by firm size, not use depth.",Codex,2026-07-11,Canonical Figure 1 Panel C context claim
clm-0037,"In 2023, 16.4% of above-scale enterprises in China reported applying AI in production and business activities",observed_statistic,official_statistic,src-0049,,medium,china,organizational-diffusion,approved_with_caveat,"Denominator and universe are the Fifth National Economic Census's above-scale enterprise population across the source's sector-specific thresholds; the source does not publish an AI-item numerator or response denominator. This one-time binary measure is not directly comparable with BTOS, SAFE, or Eurostat, has no independent outcome validation, and retains a human native-language review recommendation.",Codex,2026-07-11,Context-only official statistic used in Figure 3; not plotted in Figure 1
