source_id,title_original,title_english,authors_org,year,language,source_type,url_or_doi,reliability_tier,geo_scope,sector_scope,key_claims,useful_indicators,limitations,date_added,added_by,review_status,placeholder,notes
src-v0-dr-017,DX動向2025,DX Trends 2025,Information-technology Promotion Agency Japan,2025,Japanese,official_report,missing,A,Japan,enterprise-diffusion,Compares enterprise digital transformation outcomes and AI/data use,DX outcomes; efficiency; revenue and customer-satisfaction effects,Japan-centered and survey-based,2026-06-26,Codex,staged,false,Official/quasi-official Japanese source
src-v0-dr-018,Absorptive Capacity: A New Perspective on Learning and Innovation,Absorptive Capacity: A New Perspective on Learning and Innovation,Wesley M. Cohen; Daniel A. Levinthal,1990,English,academic_article,10.2307/2393553,A,global,theory,Defines absorptive capacity as recognition assimilation and application of external knowledge,R&D intensity; training; prior knowledge stock,Foundational pre-AI firm-level theory,2026-06-26,Codex,staged,false,Peer-reviewed theory source
src-v0-dr-019,"Absorptive Capacity: A Review, Reconceptualization, and Extension","Absorptive Capacity: A Review, Reconceptualization, and Extension",Shaker A. Zahra; Gerard George,2002,English,academic_article,10.5465/AMR.2002.6587995,A,global,theory,Distinguishes potential and realized absorptive capacity,acquisition; assimilation; transformation; exploitation,Conceptual and not AI-specific,2026-06-26,Codex,staged,false,Peer-reviewed theory source
src-v0-dr-020,Dynamic Capabilities and Strategic Management,Dynamic Capabilities and Strategic Management,David J. Teece; Gary Pisano; Amy Shuen,1997,English,academic_article,missing,A,global,theory,Explains sensing seizing and transforming as sources of advantage,reconfiguration speed; learning routines,General strategy theory not AI-specific,2026-06-26,Codex,staged,false,Peer-reviewed theory source; URL missing in reports
src-v0-dr-021,General Purpose Technologies Engines of Growth?,General Purpose Technologies Engines of Growth?,Timothy F. Bresnahan; Manuel Trajtenberg,1995,English,academic_article,10.1016/0304-4076(94)01598-T,A,global,theory,Explains GPT growth through complementarity and downstream innovation,sector spread; downstream innovation; complement intensity,Abstract theory not direct AI evidence,2026-06-26,Codex,staged,false,Peer-reviewed theory source
src-v0-dr-022,Artificial Intelligence and the Modern Productivity Paradox,Artificial Intelligence and the Modern Productivity Paradox,Erik Brynjolfsson; Daniel Rock; Chad Syverson,2017,English,working_paper,10.3386/w24001,B,global,productivity,Argues AI gains are delayed by diffusion and intangible complements,intangible investment; adoption lag; productivity gap,Pre-generative-AI and partly conceptual,2026-06-26,Codex,staged,false,NBER working paper
src-v0-dr-023,The Productivity J-Curve: How Intangibles Complement General Purpose Technologies,The Productivity J-Curve: How Intangibles Complement General Purpose Technologies,Erik Brynjolfsson; Daniel Rock; Chad Syverson,2018,English,working_paper,10.3386/w25148,B,global,productivity,Explains measured productivity lags during GPT intangible buildout,intangible-capital accumulation; lagged productivity response,Assumption-sensitive measurement framework,2026-06-26,Codex,staged,false,NBER working paper
src-v0-dr-024,"If Technology Has Arrived Everywhere, Why Has Income Diverged?","If Technology Has Arrived Everywhere, Why Has Income Diverged?",Diego A. Comin; Martí Mestieri,2018,English,academic_article,10.1257/mac.20150175,A,global,diffusion,Shows arrival is not enough; intensity and quality of use drive divergence,technology diffusion intensity; diffusion latency,Macro diffusion not AI-specific,2026-06-26,Codex,staged,false,Peer-reviewed empirical/theory source
src-v0-dr-025,The Innovation Paradox,The Innovation Paradox,Xavier Cirera; William F. Maloney,2017,English,intergovernmental_book,10.1596/978-1-4648-1160-9,A,global,innovation,Argues countries underinvest in firm adoption capability relative to invention,firm capabilities; technology absorption; policy mix,Developing-country emphasis and not AI-specific,2026-06-26,Codex,staged,false,World Bank book
src-v0-dr-026,Technology Adoption by Firms in Developing Countries,Technology Adoption by Firms in Developing Countries,Xavier Cirera et al.; World Bank,2022,English,intergovernmental_book,10.1596/978-1-4648-1826-4,A,global,enterprise-diffusion,Measures task-level firm technology adoption rather than ownership alone,FAT/TAS scores; business-function frontier gaps,Country coverage uneven,2026-06-26,Codex,staged,false,World Bank methodology source
src-v0-dr-027,Measuring and Explaining Management Practices Across Firms and Countries,Measuring and Explaining Management Practices Across Firms and Countries,Nicholas Bloom; John Van Reenen,2007,English,academic_article,missing,A,global,enterprise-diffusion,Links management quality to productivity and technology use,World Management Survey score; firm productivity,Manufacturing-heavy original sample,2026-06-26,Codex,staged,false,Peer-reviewed source; URL missing in reports
src-v0-dr-028,The Adoption of Artificial Intelligence in Firms,The Adoption of Artificial Intelligence in Firms,OECD,2025,English,intergovernmental_report,missing,A,OECD,enterprise-diffusion,Finds AI adoption shaped by skills data digital maturity and firm size,adoption rate; firm-size gap; enabling-tech bundles,Definitions remain imperfectly comparable,2026-06-26,Codex,staged,false,Official intergovernmental report
src-v0-dr-029,Emerging Divides in the Age of Artificial Intelligence,Emerging Divides in the Age of Artificial Intelligence,OECD,2025,English,intergovernmental_report,missing,A,OECD,distribution,Warns AI diffusion can widen divides across firms workers and places,distributional exposure; adoption gaps; skills divides,Policy synthesis not single empirical design,2026-06-26,Codex,staged,false,Official intergovernmental report
src-v0-dr-030,Generative AI at Work,Generative AI at Work,Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond,2025,English,academic_article,missing,A,United States,realized-outcomes,Finds generative AI assistance raised call-center productivity in one setting,output per hour; worker heterogeneity; attrition,Single setting and not economy-wide,2026-06-26,Codex,staged,false,Empirical peer-reviewed or academic source; URL missing in reports
src-v0-dr-031,Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence,Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence,Shakked Noy; Whitney Zhang,2023,English,academic_article,10.1126/science.adh2586,A,United States,realized-outcomes,Finds ChatGPT improved speed and quality in writing tasks,time saved; quality scores; variance compression,Lab-style tasks with limited external validity,2026-06-26,Codex,staged,false,Peer-reviewed empirical source
src-v0-dr-032,Artificial Intelligence and Productivity in Europe,Artificial Intelligence and Productivity in Europe,Florian Misch; Ben Park; Carlo Pizzinelli; Galen Sher; IMF,2025,English,working_paper,WP/25/67,B,Europe,productivity,Models modest medium-term productivity gains without broad diffusion,five-year productivity gains; task exposure; adoption assumptions,Scenario-based model not realized outcome,2026-06-26,Codex,staged,false,IMF working paper; empirical/model-based
src-v0-dr-033,Macroeconomic Productivity Gains from Artificial Intelligence in G7 Economies,Macroeconomic Productivity Gains from Artificial Intelligence in G7 Economies,Francesco Filippucci et al.; OECD,2025,English,intergovernmental_report,missing,A,G7,productivity,Models aggregate gains as dependent on adoption rates complements and J-curve dynamics,annual productivity contribution; adoption scenarios,Assumption-sensitive macro model,2026-06-26,Codex,staged,false,Official intergovernmental model-based source
src-v0-dr-034,Artificial Intelligence in Science,Artificial Intelligence in Science,OECD,2023,English,intergovernmental_report,missing,A,global,science,Argues AI can raise scientific productivity but systems are underprepared,AI use in research; compute access; data access; research-system readiness,Emerging evidence base,2026-06-26,Codex,staged,false,Official intergovernmental report
src-v0-dr-035,Technology and Innovation Report 2025: Inclusive Artificial Intelligence for Development,Technology and Innovation Report 2025: Inclusive Artificial Intelligence for Development,UNCTAD,2025,English,intergovernmental_report,UNCTAD/TIR/2025,A,global,distribution,Frames inclusive AI around infrastructure data skills and governance,digital divide; policy leverage points; national readiness,Broad policy synthesis not causal measurement,2026-06-26,Codex,staged,false,Official UN report
src-v0-dr-036,The Diffusion Deficit in Scientific and Technological Power: Re-Assessing China’s Rise,The Diffusion Deficit in Scientific and Technological Power: Re-Assessing China’s Rise,Jeffrey Ding,2024,English,academic_article,10.1080/09692290.2023.2173633,A,China; United States,diffusion,Argues national power depends on diffusion capacity not innovation metrics alone,innovation-to-diffusion balance; absorption spending; skill infrastructure,China-centered historical-comparative evidence,2026-06-26,Codex,staged,false,Peer-reviewed source
src-v0-dr-037,"Engines of Power: Electricity, AI, and General-Purpose Military Transformations","Engines of Power: Electricity, AI, and General-Purpose Military Transformations",Jeffrey Ding; Allan Dafoe,2023,English,academic_article,missing,A,global,security,Argues GPT military effects are broad delayed and mediated by industrial spillovers,industrial-base depth; military adaptation speed,Historical analogy with difficult current measurement,2026-06-26,Codex,staged,false,Peer-reviewed or academic source; URL missing in reports
src-v0-dr-038,"2023 Data, Analytics, and Artificial Intelligence Adoption Strategy","2023 Data, Analytics, and Artificial Intelligence Adoption Strategy",U.S. Department of Defense,2023,English,government_strategy,missing,A,United States,security,Frames defense AI advantage as data quality talent agility and enterprise diffusion,data readiness; deployment feedback loops; defense AI use,Official strategy not independent evaluation,2026-06-26,Codex,staged,false,Official government claim/source
src-v0-dr-039,AI as Normal Technology,AI as Normal Technology,Arvind Narayanan; Sayash Kapoor,2025,English,expert_commentary,missing,D,global,cross-cutting,Argues AI diffusion and institutions matter more than singular frontier thresholds,diffusion lag; deployment frictions; policy posture,Commentary not empirical dataset,2026-06-26,Codex,staged,false,Expert commentary; mark as commentary
src-v0-dr-040,Situational Awareness: The Decade Ahead,Situational Awareness: The Decade Ahead,Leopold Aschenbrenner,2024,English,expert_commentary,missing,D,global,frontier-access,Argues frontier AI races may create decisive strategic discontinuities,frontier lead; compute concentration; strategic thresholds,Speculative expert essay; not empirical evidence,2026-06-26,Codex,staged,false,Expert commentary; mark as commentary
src-v0-dr-041,Energy and AI,Energy and AI,International Energy Agency,2025-2026,English,intergovernmental_report,missing,A,global,compute-energy,Assesses electricity demand local concentration grid bottlenecks and data center delay risk,data center electricity demand; delay risk; grid lead times,Global aggregation can hide local constraints,2026-06-26,Codex,staged,false,Official intergovernmental source; empirical/model-based
src-v0-dr-042,2024 U.S. Data Center Energy Usage Report,2024 U.S. Data Center Energy Usage Report,DOE; Lawrence Berkeley National Laboratory,2024,English,government_report,missing,A,United States,compute-energy,Estimates U.S. data center electricity and water use with scenarios,electricity TWh; share of national consumption; direct and indirect water,Facility-level PPAs and carbon claims not fully visible,2026-06-26,Codex,staged,false,Official government/lab source; empirical/model-based
src-v0-dr-043,Queued Up,Queued Up,Lawrence Berkeley National Laboratory,2024-2026,English,government_dataset,missing,A,United States,compute-energy,Tracks interconnection queues and request-to-operation timing,queue capacity; project counts; interconnection delay,Generation queue not data-center load queue itself,2026-06-26,Codex,staged,false,Official lab dataset; empirical
src-v0-dr-044,Long-Term Reliability Assessment,Long-Term Reliability Assessment,NERC,2025,English,official_report,missing,A,North America,compute-energy,Assesses resource adequacy risks and load growth including data centers,NERC risk category; reserve margins; resource adequacy,Regional reliability assessment not country score,2026-06-26,Codex,staged,false,Official reliability source
src-v0-dr-045,PJM Load Forecast and large-load materials,PJM Load Forecast and large-load materials,PJM Interconnection,2026,English,grid_operator_materials,missing,A,United States,compute-energy,Documents data-center-driven load growth in PJM zones,peak load forecast; zonal data-center adjustments; transmission stress,Regional not national,2026-06-26,Codex,staged,false,Official grid operator materials
src-v0-dr-046,Large Load Interconnection materials,ERCOT Large Load Interconnection materials,ERCOT,2025-2026,English,grid_operator_materials,missing,A,United States,compute-energy,Tracks large-load interconnection requests and process reforms,large-load queue GW; data-center share; batch-study reform,Pipeline credibility uncertain,2026-06-26,Codex,staged,false,Official grid operator materials
src-v0-dr-047,关于深入实施“东数西算”工程 加快构建全国一体化算力网的实施意见,Opinions on Deepening East Data West Computing and Accelerating the National Integrated Computing Network,NDRC; National Data Administration; NEA and others,2023,Chinese,government_policy,missing,A,China,compute-energy,Core Chinese compute siting and national integrated compute network policy,hub-node siting; latency/workload split; compute-power coordination,Official targets and implementation claims need independent validation,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-048,数据中心绿色低碳发展专项行动计划,Special Action Plan for Green and Low-Carbon Development of Data Centers,NDRC and other departments,2024,Chinese,government_policy,missing,A,China,compute-energy,Sets data center efficiency utilization and renewable-use targets,PUE targets; rack utilization; green electricity targets,Official policy not outcome evidence,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-049,算电协同材料,Compute-power coordination materials,State Grid and provincial grid entities,2025-2026,Chinese,official_materials,missing,B,China,compute-energy,Discusses power quality intermittency and grid coordination for compute,firm power; direct supply; storage and balancing; grid planning,Provincial materials uneven and official,2026-06-26,Codex,staged,false,Official or quasi-official operational materials
src-v0-dr-050,RTE data-center connection and siting materials,RTE data-center connection and siting materials,RTE France,2026,French,grid_operator_materials,missing,A,France,compute-energy,Provides evidence of proactive siting near high-voltage infrastructure,connection capacity; fast-track sites; high-voltage proximity,France-specific,2026-06-26,Codex,staged,false,Official grid operator source
src-v0-dr-051,Watt-Bit collaboration documents,Watt-Bit collaboration documents,METI; MIC Japan,2025-2026,Japanese,government_policy,missing,A,Japan,compute-energy,Coordinates electricity and communications infrastructure for data centers,power-communications co-planning; cluster constraints,Policy process not outcome evidence,2026-06-26,Codex,staged,false,Official government source
src-v0-dr-052,Data-center dispersion and large-load rules,Data-center dispersion and large-load rules,MOTIE; KEPCO; Korean authorities,2024-2026,Korean,government_policy,missing,A,South Korea,compute-energy,Allows grid-impact screening and incentives for data center dispersion,large-load screening; capital-region dispersion; reliability risk,Official rules need implementation evidence,2026-06-26,Codex,staged,false,Official government/source; official claim
src-v0-dr-053,Accelerator vendor and SEC filings,Accelerator vendor and SEC filings,NVIDIA; Deloitte; SEC filings and industry reports,2025-2026,English,industry_filings,missing,C,global,compute-energy,Documents accelerator supply constraints export controls and chip revenue concentration,accelerator access; export-control exposure; packaging constraints,Industry reports and filings need triangulation,2026-06-26,Codex,staged,false,Empirical industry/filing evidence
src-v0-dr-054,World Robotics,World Robotics,International Federation of Robotics,2024-2026,English,industry_dataset,missing,B,global,manufacturing-robotics,Standard source for industrial robot density installations and stock,robot density; annual installations; operational stock; production shares,Full detailed database may require purchase; press releases are partial,2026-06-26,Codex,staged,false,Industry association dataset; empirical
src-v0-dr-055,AI in manufacturing and IoT measurement publications,AI in manufacturing and IoT measurement publications,OECD,2024-2026,English,intergovernmental_report,missing,A,OECD; EU,manufacturing-robotics,Reviews AI and IoT adoption in manufacturing and barriers,manufacturing AI adoption; IoT use; digital twin barriers,Adoption definitions vary and outcomes are limited,2026-06-26,Codex,staged,false,Official intergovernmental source
src-v0-dr-056,Industrial Development Report and industrial AI materials,Industrial Development Report and industrial AI materials,UNIDO,2024-2026,English,intergovernmental_report,missing,A,global,manufacturing-robotics,Assesses industrial AI and manufacturing adoption constraints,industrial structure; AI adoption barriers; industrial upgrading,Broad synthesis and not country microdata,2026-06-26,Codex,staged,false,Official intergovernmental source
src-v0-dr-057,Manufacturing AI and digital-twin standards materials,Manufacturing AI and digital-twin standards materials,NIST,2024-2025,English,government_report,missing,A,United States,manufacturing-robotics,Frames reliable manufacturing AI through measurement interoperability safety and human-AI teaming,standards adoption; digital-twin readiness; QA practices,Workshop and standards material rather than outcome series,2026-06-26,Codex,staged,false,Official government source
src-v0-dr-058,人形机器人创新发展指导意见,Guiding Opinions on the Innovative Development of Humanoid Robots,MIIT China,2023,Chinese,government_policy,missing,A,China,manufacturing-robotics,Elevates humanoid robots and embodied AI as strategic future industry,embodied-AI policy intensity; robot ecosystem readiness,Official policy not deployment evidence,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-059,AI+制造业行动方案及工业互联网融合政策,AI plus Manufacturing Action Plan and industrial internet integration policies,MIIT and Chinese authorities,2025-2026,Chinese,government_policy,missing,A,China,manufacturing-robotics,Sets targets for industrial large models agents datasets and application scenarios,industrial agents; datasets; application scenarios; smart factories,Targets and official counts require independent validation,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-060,AI 기반 스마트제조 혁신 3.0,AI-based Smart Manufacturing Innovation 3.0,Ministry of SMEs and Startups Korea,2025,Korean,government_policy,missing,A,South Korea,manufacturing-robotics,Targets SME AI smart-factory diffusion datasets AAS standardization and safety outcomes,SME AI smart factories; manufacturing datasets; accident-rate target,Official program claims need outcome validation,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-061,ものづくり白書 and smart manufacturing guidelines,Monodzukuri White Paper and Smart Manufacturing Guidelines,METI; NEDO Japan,2025-2026,Japanese,government_report,missing,A,Japan,manufacturing-robotics,Documents manufacturing labor shortages factory digitalization and smart-manufacturing systems,manufacturing workforce shortage; smart manufacturing maturity; security practice,Japan-specific and official,2026-06-26,Codex,staged,false,Official government/quasi-government source
src-v0-dr-062,Catena-X quality management and data-space documentation,Catena-X quality management and data-space documentation,Catena-X Automotive Network,2025-2026,English; German,industry_platform_materials,missing,C,Germany; EU,manufacturing-robotics,Documents interoperable automotive data-space use cases and supplier onboarding,quality detection lead time; supplier onboarding time; OEE calculation,Industry platform claims require independent validation,2026-06-26,Codex,staged,false,Industry source; official/participant claims
src-v0-dr-063,Robots and Jobs: Evidence from US Labor Markets,Robots and Jobs: Evidence from US Labor Markets,Daron Acemoglu; Pascual Restrepo,2020,English,academic_article,missing,A,United States,labor-adaptation,Estimates robot adoption effects on local employment and wages,employment-to-population effects; wages; local exposure,U.S. historical robot evidence not generative AI,2026-06-26,Codex,staged,false,Peer-reviewed empirical source; URL missing in reports
src-v0-dr-064,Future Jobs: Robots AI and Digital Platforms in East Asia and Pacific,Future Jobs: Robots AI and Digital Platforms in East Asia and Pacific,World Bank,2025,English,intergovernmental_report,missing,A,East Asia and Pacific,labor-adaptation,Finds technology adoption can increase aggregate employment while shifting gains toward skilled workers,employment effects; skill bias; informal-sector movement,Regional synthesis not causal for all countries,2026-06-26,Codex,staged,false,Official World Bank report
src-v0-dr-065,《新一代人工智能发展规划》,New Generation Artificial Intelligence Development Plan,State Council China,2017,Chinese,government_strategy,missing,A,China,cross-cutting,Foundational national AI strategy linking AI to industry governance and security,policy priority; frontier and deployment targets,Official plan not outcome evidence,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-066,《关于加快场景创新 以人工智能高水平应用促进经济高质量发展的指导意见》,Guiding Opinions on Accelerating Scenario Innovation to Promote High-Quality Economic Development through High-Level AI Application,MOST and other Chinese departments,2022,Chinese,government_policy,missing,A,China,conversion-capacity,Uses application scenarios to accelerate AI commercialization and deployment,scenario policy; pilot zones; sector application pathways,Official policy not outcome evidence,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-067,《生成式人工智能服务管理暂行办法》,Interim Measures for the Administration of Generative AI Services,CAC and other Chinese departments,2023,Chinese,government_regulation,missing,A,China,governance,Creates rules for generative AI service provision including filings and content obligations,regulatory clarity; complaint channels; filing regime,May narrow open experimentation; official legal text,2026-06-26,Codex,staged,false,Official regulation
src-v0-dr-068,《国家人工智能产业综合标准化体系建设指南（2024版）》,National AI Industry Comprehensive Standardization System Construction Guide 2024,MIIT; CAC; NDRC; SAMR/SAC,2024,Chinese,government_policy,missing,A,China,governance,Builds AI standardization architecture across infrastructure models applications safety and evaluation,AI standards; evaluation systems; compliance pathways,Official policy not implementation outcome,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-069,《人工智能安全治理框架》1.0版 / 2.0版,AI Safety Governance Framework 1.0 / 2.0,TC260 and CAC-guided entities,2024-2025,Chinese,governance_framework,missing,A,China,governance,Shows iterative Chinese AI safety governance framework development,safety governance; risk classification; control mechanisms,Framework not necessarily enforcement evidence,2026-06-26,Codex,staged,false,Official/quasi-official governance source
src-v0-dr-070,国务院关于深入实施“人工智能+”行动的意见,State Council Opinion on Deepening Implementation of AI Plus,State Council China,2025,Chinese,government_policy,missing,A,China,cross-cutting,National roadmap for mass AI deployment in science industry public services governance and security,AI+ sectors; implementation targets; public-service deployment,Official policy not realized outcome evidence,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-071,国家智慧教育公共服务平台及全国一体化政务服务平台材料,National Smart Education Platform and Integrated Government Service Platform materials,Chinese ministries and State Council channels,2025,Chinese,official_dataset,missing,A,China,public-sector,Provides scale signals for public digital-service platforms,platform users; online administrative items; education-platform access,Official platform statistics require external validation,2026-06-26,Codex,staged,false,Official government source; official claim/data
src-v0-dr-072,Trust attitudes and use of AI: A global study 2025,Trust attitudes and use of AI: A global study 2025,KPMG; University of Melbourne,2025,English,academic_survey,missing,B,global,adaptation-distribution,Separates AI trust acceptance use and perceived safeguards,trust in AI; acceptance; perceived regulatory adequacy; institutional trust,Survey mode and sample composition bias,2026-06-26,Codex,staged,false,Independent survey; empirical
src-v0-dr-073,Multi-Country AI Survey,Google/Ipsos Multi-Country AI Survey,Google; Ipsos,2026,English,survey,missing,C,multi-country,adaptation-distribution,Measures AI knowledge interest workplace optimism data-sharing willingness and innovation preferences,concern/excitement; workplace optimism; data-sharing willingness,Online panel methodology and sponsor effects require caution,2026-06-26,Codex,staged,false,Survey source; empirical with sponsor caveat
src-v0-dr-074,How the U.S. Public and AI Experts View Artificial Intelligence,How the U.S. Public and AI Experts View Artificial Intelligence,Pew Research Center,2025,English,survey,missing,B,United States,adaptation-distribution,Measures U.S. public-expert gap and confidence in AI regulation,public concern; expert/public gap; confidence in government,United States only,2026-06-26,Codex,staged,false,Independent survey; empirical
src-v0-dr-075,Artificial Intelligence and the future of work,Artificial Intelligence and the future of work,Eurobarometer; European Commission,2025,English,official_survey,missing,A,EU,adaptation-distribution,Measures European views on AI at work productivity and needed safeguards,workplace AI support; privacy/transparency concern; regulation demand,EU-only opinion data,2026-06-26,Codex,staged,false,Official survey; empirical
src-v0-dr-076,Regulation (EU) 2024/1689 Artificial Intelligence Act,EU Artificial Intelligence Act,European Union,2024,English,law,missing,A,EU,governance,Creates risk-based AI law with high-risk obligations complaint and explanation channels,remedy rights; high-risk classifications; conformity obligations,Law implementation still phased,2026-06-26,Codex,staged,false,Official law/regulation
src-v0-dr-077,Generative AI and jobs: A refined global index of occupational exposure,Generative AI and jobs: A refined global index of occupational exposure,International Labour Organization,2025,English,intergovernmental_report,missing,A,global,labor-adaptation,Estimates global occupational exposure to generative AI and gender skew,employment exposure; high-exposure share; gender gap,Exposure is not displacement,2026-06-26,Codex,staged,false,Official intergovernmental empirical/model source
src-v0-dr-078,OECD Employment Outlook 2025 and Geography of Generative AI,OECD Employment Outlook 2025 and Geography of Generative AI,OECD,2025,English,intergovernmental_report,missing,A,OECD,labor-adaptation,Tracks training gaps regional exposure and labor adjustment capacity,adult learning; regional exposure; worker transition policies,OECD-centered,2026-06-26,Codex,staged,false,Official intergovernmental source
