indicator_id,concept,pillar,possible_metric,unit,source_ids,coverage,update_frequency,data_quality,directionality,normalization,missingness_policy,evidence_label,qualitative_coding,score,placeholder,notes
ind-v0-dr-017,Manufacturing AI adoption,diffusion_speed,Share of manufacturing enterprises using AI technologies,percent of manufacturing firms,src-v0-dr-012;src-v0-dr-055;src-v0-dr-014,EU; Germany; selected countries,annual,medium,higher_is_more_diffusion,percent of firms with 10+ employees where comparable,mark missing where manufacturing sector cannot be isolated,observed,missing,missing,false,Definitions vary; never compare without survey metadata
ind-v0-dr-018,Enterprise AI adoption,diffusion_speed,Share of firms using at least one AI technology,percent of firms,src-v0-dr-012;src-v0-dr-013;src-v0-dr-014;src-v0-dr-015;src-v0-dr-016,selected countries,annual or survey round,high,higher_is_more_diffusion,percent of firms; keep size and sector breakouts,mark missing where survey frames differ too much,observed,missing,missing,false,Extensive-margin adoption only; not intensity
ind-v0-dr-019,Firm AI intensity,diffusion_speed,Share of firms reporting intensive or significant AI use,percent of firms,src-v0-dr-028,OECD; selected surveys,annual or irregular,medium,higher_is_deeper_diffusion,percent of firms within source survey,mark missing where only nominal adoption exists,observed,missing,missing,false,Needed to avoid overcounting shallow adoption
ind-v0-dr-020,Large-small firm adoption gap,distribution_quality,Difference between large-firm and small-firm AI adoption rates,percentage points,src-v0-dr-012;src-v0-dr-013;src-v0-dr-014;src-v0-dr-028,selected countries,annual,high,lower_gap_is_broader_distribution,large minus small adoption rate,mark missing if firm-size classes differ irreconcilably,observed,missing,missing,false,Core distribution-quality indicator
ind-v0-dr-021,Sector diffusion gap,distribution_quality,Difference or ratio between highest-sector and median or lowest-sector AI adoption,percentage points or ratio,src-v0-dr-012;src-v0-dr-013;src-v0-dr-035,selected countries,annual or irregular,medium,lower_gap_is_broader_distribution,within-country sector gap,mark missing if sector taxonomy not comparable,observed,missing,missing,false,Highlights concentration in ICT and professional services
ind-v0-dr-022,Digital prerequisite maturity,conversion_capacity,Penetration of cloud ERP CRM cybersecurity data governance or IoT among firms,percent or composite,src-v0-dr-011;src-v0-dr-012;src-v0-dr-028;src-v0-dr-055,OECD; EU; selected countries,annual,medium,higher_is_more_capacity,separate components preferred over composite in V0,mark missing for components without source values,observed,missing,missing,false,Input complement not realized AI outcome
ind-v0-dr-023,Workflow depth,conversion_capacity,Share of business functions performed at advanced AI-enabled level,composite or percent of functions,src-v0-dr-026,project-built or country studies,irregular,low,higher_is_deeper_conversion,no V0 numeric score without survey design,mark missing until fielded or sourced at task level,qualitative-coded,Requires custom survey or task-level adoption module,missing,false,More informative than yes/no adoption but currently data sparse
ind-v0-dr-024,Smart-factory diffusion,diffusion_speed,Count or share of factories certified or documented as smart factories by maturity level,count; percent; maturity level,src-v0-dr-059;src-v0-dr-060;src-v0-dr-061,China; Korea; Japan,annual or program-based,low,higher_is_more_diffusion,no cross-country normalization in V0,mark official counts as official-claim and keep maturity definitions separate,official-claim,missing,missing,false,Policy categories are not directly comparable
ind-v0-dr-025,Industrial standards and interoperability participation,conversion_capacity,Adoption or participation in ISO 23247 AAS OPC UA Catena-X or similar industrial data standards,mixed count or qualitative,src-v0-dr-057;src-v0-dr-060;src-v0-dr-062,selected countries,irregular,low,higher_is_more_capacity,qualitative coding only in V0,mark missing without direct standards evidence,qualitative-coded,Requires explicit standards basket and source-backed coding,missing,false,Important middle-layer proxy for manufacturing conversion
ind-v0-dr-026,Pilot-to-scale speed,diffusion_speed,Time from AI proof of concept to plant-wide agency-wide or supply-chain deployment,months,src-v0-dr-057;src-v0-dr-062;src-v0-dr-080;src-v0-dr-086,case studies,irregular,low,lower_is_faster_diffusion,case-study metric not national score,mark missing without documented start and scale dates,observed,missing,missing,false,Use as case evidence until survey series exists
ind-v0-dr-027,Systems integrator and maintenance capability,conversion_capacity,Density or capacity of integrators maintenance technicians service networks and OT cybersecurity support,mixed,src-v0-dr-055;src-v0-dr-057;src-v0-dr-061,selected countries,irregular,low,higher_is_more_capacity,no V0 normalization,mark missing unless directly observed or defensibly proxied,qualitative-coded,Requires proxy basket; do not infer from robot stock alone,missing,false,Key missing middle-layer variable
ind-v0-dr-028,Manufacturing productivity,realized_outcomes,Manufacturing labor productivity or value added per worker,USD per worker or index,src-v0-dr-010;src-v0-dr-033;src-v0-dr-055,global,annual,high,higher_is_better_outcome,constant currency or indexed time series,mark missing if not sector-comparable,observed,missing,missing,false,Outcome control; AI attribution must be separate
ind-v0-dr-029,Factory operational improvement,realized_outcomes,Defect rate scrap rate OEE downtime cycle time or equipment utilization improvement,percent change or operational metric,src-v0-dr-057;src-v0-dr-060;src-v0-dr-062,case studies or programs,irregular,low,higher_improvement_is_better_outcome,case-specific; no country score in V0,mark missing without baseline and measurement method,official-claim,missing,missing,false,Often official or vendor case evidence; validate before promotion
ind-v0-dr-030,Manufacturing export quality and competitiveness,realized_outcomes,Quality-sensitive manufacturing exports or industrial competitiveness measures,index or trade metrics,src-v0-dr-010;src-v0-dr-055,global,annual,medium,higher_is_better_outcome,sector normalized after source review,mark missing where AI attribution is unsupported,observed,missing,missing,false,Outcome-side comparator not AI-specific
ind-v0-dr-031,Public-sector AI procurement readiness,conversion_capacity,Existence and maturity of AI procurement memos playbooks or buying channels,qualitative score,src-v0-dr-080;src-v0-dr-084;src-v0-dr-085;src-v0-dr-086;src-v0-dr-087,selected countries,annual,medium,higher_is_more_capacity,qualitative rubric only in V0,mark missing where no official procurement pathway is documented,qualitative-coded,Requires coding of policy maturity not numeric performance,missing,false,Separate procurement readiness from actual public-sector ROI
ind-v0-dr-032,Public-sector AI use depth,diffusion_speed,Share of agencies or functions using AI operationally in service delivery decision support or back office,percent or count,src-v0-dr-080;src-v0-dr-086;src-v0-dr-085;src-v0-dr-087,selected countries,annual or irregular,low,higher_is_more_diffusion,no V0 cross-country normalization,mark missing where only pilot lists or strategies exist,official-claim,missing,missing,false,Promising but data sparse and often official
ind-v0-dr-033,Public digital-service platform scale,conversion_capacity,Population or user base reachable through public digital platforms before AI insertion,users; percent population; transaction count,src-v0-dr-071;src-v0-dr-088;src-v0-dr-008,global or selected countries,annual,medium,higher_is_more_capacity,per capita and transaction intensity where sourced,mark official platform counts as official claims unless independently verified,official-claim,missing,missing,false,Enabling channel; not itself AI outcome
ind-v0-dr-034,Public-sector AI ROI,realized_outcomes,Documented cost time error or service-quality improvement from AI deployment in public agencies,percent change; dollars; days,src-v0-dr-086;src-v0-dr-080;src-v0-dr-008,case studies,irregular,low,higher_improvement_is_better_outcome,case-level only in V0,mark missing without baseline and counterfactual or at least before-after detail,official-claim,missing,missing,false,Nearly all countries lack standardized cross-agency ROI data
ind-v0-dr-035,AI workforce adaptation,adaptation_capacity,Share of workers receiving AI training using AI weekly or entering AI deployment occupations,percent of workers or count,src-v0-dr-015;src-v0-dr-078;src-v0-dr-087;src-v0-dr-060,selected countries,annual or program-based,medium,higher_is_more_adaptation,percent of workforce and program counts kept separate,mark official program targets separately from completions,observed,missing,missing,false,Distinguish elite AI talent from mass implementation skills
ind-v0-dr-036,Adult learning and retraining participation,adaptation_capacity,Adult training participation overall and for older or at-risk workers,percent of adults,src-v0-dr-078;src-v0-dr-079,OECD; global,annual or periodic,medium,higher_is_more_adaptation,percent of age group,mark missing where age or risk group unavailable,observed,missing,missing,false,General adaptation capacity not AI-specific
ind-v0-dr-037,Generative AI occupational exposure,adaptation_capacity,Share of employment in occupations exposed to generative AI,percent of employment,src-v0-dr-077;src-v0-dr-078,global; OECD,periodic,high,context_dependent,percent of employment by exposure band,mark missing if occupation mapping is unavailable,observed,missing,missing,false,Exposure is not displacement; pair with buffering indicators
ind-v0-dr-038,Gender and regional exposure gap,distribution_quality,Difference in high AI exposure by gender region or metro status,percentage points,src-v0-dr-077;src-v0-dr-078,global; OECD,periodic,medium,lower_gap_is_broader_distribution,gap in percentage points,mark missing without demographic or regional breakout,observed,missing,missing,false,Distributional risk indicator
ind-v0-dr-039,Social protection cushioning,adaptation_capacity,Coverage adequacy portability and shock responsiveness of social protection for AI-exposed workers,index or percent,src-v0-dr-079;src-v0-dr-064,global,periodic,medium,higher_is_more_adaptation,separate components preferred in V0,mark missing where social-protection data cannot be tied to worker groups,observed,missing,missing,false,General safety-net indicator not AI-specific
ind-v0-dr-040,AI social license,adaptation_capacity,Willingness to trust AI acceptance of AI use and perceived sufficiency of safeguards,percent of respondents,src-v0-dr-072;src-v0-dr-073;src-v0-dr-074;src-v0-dr-075,selected countries,survey round,medium,context_dependent,separate trust and acceptance; do not collapse in V0,mark missing if survey mode or sample is not documented,observed,missing,missing,false,Acceptance and trust must remain separate
ind-v0-dr-041,Concern versus excitement and regulatory adequacy,adaptation_capacity,Public concern excitement and views on whether current laws are sufficient,percent of respondents,src-v0-dr-073;src-v0-dr-074;src-v0-dr-075;src-v0-dr-084,selected countries,survey round,medium,context_dependent,separate items not composite in V0,mark missing where question wording differs too much,observed,missing,missing,false,Use as legitimacy signal not adoption predictor
ind-v0-dr-042,Remedy and accountability density,distribution_quality,Presence of complaint explanation opt-out audit logging regulator notification and enforcement channels,binary basket or qualitative score,src-v0-dr-076;src-v0-dr-067;src-v0-dr-080;src-v0-dr-081,selected jurisdictions,annual law review,medium,higher_is_more_accountability,qualitative rubric only in V0,mark missing where legal right exists but enforcement mechanism is unclear,qualitative-coded,Code legal remedies separately from political trust,missing,false,Separates rights-centered and state-supervised models
ind-v0-dr-043,Welfare pass-through,distribution_quality,Real wages employment transitions job quality service access or inequality changes in AI-exposed groups,mixed,src-v0-dr-029;src-v0-dr-063;src-v0-dr-064;src-v0-dr-079,selected countries,annual or research update,low,higher_broad_gain_is_better,no V0 composite score,mark missing unless outcome and AI exposure are both sourced,observed,missing,missing,false,Core outcome but hard to attribute
ind-v0-dr-044,Scientific AI readiness,conversion_capacity,Public research compute open data AI tooling and interdisciplinary AI-for-science centers,composite basket,src-v0-dr-034;src-v0-dr-001;src-v0-dr-087,selected countries,annual or irregular,low,higher_is_more_capacity,qualitative rubric only in V0,mark missing without direct research-system evidence,qualitative-coded,Better than AI paper count alone but requires custom coding,missing,false,Keep readiness separate from discovery outcomes
ind-v0-dr-045,Scientific conversion output,realized_outcomes,AI-assisted discovery proxies such as citation-weighted AI-for-science papers experiment throughput or time-to-result,count; time; index,src-v0-dr-034;src-v0-dr-001,selected countries,annual or irregular,low,higher_is_better_outcome,no V0 composite without field normalization,mark missing where source only counts AI papers not AI-for-science outcomes,observed,missing,missing,false,Data sparse and field-normalization sensitive
ind-v0-dr-046,Military and security AI deployment,realized_outcomes,Time from prototype to fielding number of operational AI systems operator trust or decision-cycle compression,mixed,src-v0-dr-037;src-v0-dr-038;src-v0-dr-085,selected countries,irregular,low,higher_useful_deployment_is_better,no V0 numeric score,mark missing unless openly documented systems budgets or doctrine support value,qualitative-coded,Requires low-confidence label; much evidence is classified,missing,false,Keep security frontier sensitivity separate from civilian conversion
ind-v0-dr-047,Innovation-to-diffusion balance,conversion_capacity,Ratio or qualitative comparison between frontier innovation inputs and diffusion capacity,ratio or coded category,src-v0-dr-036;src-v0-dr-001;src-v0-dr-028,selected countries,annual if built,low,balance_context_dependent,no numeric ratio in V0 without documented formula,mark missing until denominator and numerator are sourced,qualitative-coded,Requires methodology decision before scoring,missing,false,Useful diagnostic but not a headline score
ind-v0-dr-048,Conversion efficiency ratio,realized_outcomes,Observed outcome improvement per unit of AI capability spend compute or adoption input,ratio,src-v0-dr-022;src-v0-dr-023;src-v0-dr-033;src-v0-dr-028,project-built,irregular,low,higher_is_more_efficient,no V0 scoring; show only where numerator and denominator are sourced,mark missing unless both outcome and input are sourced and lag specified,estimated,missing,missing,false,This is the long-run differentiator but not ready for V0 headline use
ind-v0-dr-049,SME and regional diffusion breadth,distribution_quality,Share of AI adoption or support reaching SMEs lagging regions suppliers or non-metropolitan areas,percent; gap; count,src-v0-dr-012;src-v0-dr-013;src-v0-dr-015;src-v0-dr-060;src-v0-dr-078,selected countries,annual or program-based,medium,higher_is_broader_distribution,separate SME and regional series,mark missing if only national aggregate adoption is available,observed,missing,missing,false,Distribution quality should not be inferred from national adoption alone
ind-v0-dr-050,Labor displacement and job-quality outcomes,realized_outcomes,Employment wage hours informality safety or job-quality changes among AI or robotics-exposed workers,mixed,src-v0-dr-063;src-v0-dr-064;src-v0-dr-077;src-v0-dr-079,selected countries,research update or annual,low,lower_harm_and_higher_quality_is_better,no V0 composite score,mark missing unless exposure and outcome are both documented,observed,missing,missing,false,Do not equate exposure with displacement
