disposition_id,profile_id,dimension,selected_value,selection_basis,seed_review_id,independent_review_id,submitted_low,submitted_high,comparison_status,recommendation_low,recommendation_high,historical_disposition,domain_review_id,owner_exception_id,source_ids,confidence,human_review_state,history_path,gap,revisit_trigger
sp-0003-s2-v1,sp-0003,S2,,no_selected_value,seed-sp-0003-v1,independent-sp-0003-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0003-s3-v1,sp-0003,S3,,no_selected_value,seed-sp-0003-v1,independent-sp-0003-v1,3,4,one_point_difference,,,one_point_difference,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0003-s4-v1,sp-0003,S4,,no_selected_value,seed-sp-0003-v1,independent-sp-0003-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0003-s5-v1,sp-0003,S5,2,historical_provisional_selection,seed-sp-0003-v1,independent-sp-0003-v1,2,4,difference_ge_2,,,selected_provisional_pending_named_expert,,exc-sp-0003-s5,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,No exact-stage canonical source on mature-software false-negative consequences or the independence of release and canary controls.,"Review production change records that connect verification false negatives to release scope, detection timing, rollback authority, and consequence before containment."
sp-0004-s1-v1,sp-0004,S1,,no_selected_value,seed-sp-0004-v1,independent-sp-0004-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0004-s2-v1,sp-0004,S2,,no_selected_value,seed-sp-0004-v1,independent-sp-0004-v1,3,4,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0004-s3-v1,sp-0004,S3,,no_selected_value,seed-sp-0004-v1,independent-sp-0004-v1,2,3,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0004-s4-v1,sp-0004,S4,,no_selected_value,seed-sp-0004-v1,independent-sp-0004-v1,3,4,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0004-s5-v1,sp-0004,S5,1,historical_provisional_selection,seed-sp-0004-v1,independent-sp-0004-v1,1,2,one_point_difference,,,selected_provisional_pending_named_expert,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No exact-stage canonical source on rollback effectiveness, migration reversibility, or change-failure consequences in the frozen mature-software scope.","Obtain staged-deployment incident evidence with blast radius, detection source, halt authority, rollback outcome, and any irreversible data effect."
sp-0005-s1-v1,sp-0005,S1,,no_selected_value,seed-sp-0005-v1,independent-sp-0005-v1,3,4,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0005-s2-v1,sp-0005,S2,,no_selected_value,seed-sp-0005-v1,independent-sp-0005-v1,4,4,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0005-s3-v1,sp-0005,S3,,no_selected_value,seed-sp-0005-v1,independent-sp-0005-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0005-s4-v1,sp-0005,S4,,no_selected_value,seed-sp-0005-v1,independent-sp-0005-v1,4,4,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0005-s5-v1,sp-0005,S5,1,historical_provisional_selection,seed-sp-0005-v1,independent-sp-0005-v1,1,2,one_point_difference,,,selected_provisional_pending_named_expert,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No exact-stage canonical source on mature-software operational error consequences, recovery success, or independence of incident controls.","Obtain post-incident records separating the erroneous operational action, independent detection, containment authority, timing, and direct loss before containment."
sp-0006-s1-v1,sp-0006,S1,,no_selected_value,seed-sp-0006-v1,independent-sp-0006-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0006-s2-v1,sp-0006,S2,,no_selected_value,seed-sp-0006-v1,independent-sp-0006-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0006-s3-v1,sp-0006,S3,,no_selected_value,seed-sp-0006-v1,independent-sp-0006-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0006-s4-v1,sp-0006,S4,,no_selected_value,seed-sp-0006-v1,independent-sp-0006-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0006-s5-v1,sp-0006,S5,,no_selected_value,seed-sp-0006-v1,independent-sp-0006-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0007-s1-v1,sp-0007,S1,,no_selected_value,seed-sp-0007-v1,independent-sp-0007-v1,2,3,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0007-s2-v1,sp-0007,S2,,no_selected_value,seed-sp-0007-v1,independent-sp-0007-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0007-s3-v1,sp-0007,S3,,no_selected_value,seed-sp-0007-v1,independent-sp-0007-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0007-s4-v1,sp-0007,S4,,no_selected_value,seed-sp-0007-v1,independent-sp-0007-v1,2,3,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0007-s5-v1,sp-0007,S5,,no_selected_value,seed-sp-0007-v1,independent-sp-0007-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0008-s1-v1,sp-0008,S1,,no_selected_value,seed-sp-0008-v1,independent-sp-0008-v1,1,1,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0008-s2-v1,sp-0008,S2,,no_selected_value,seed-sp-0008-v1,independent-sp-0008-v1,1,2,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0008-s3-v1,sp-0008,S3,,no_selected_value,seed-sp-0008-v1,independent-sp-0008-v1,1,1,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0008-s4-v1,sp-0008,S4,,no_selected_value,seed-sp-0008-v1,independent-sp-0008-v1,0,1,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0008-s5-v1,sp-0008,S5,2,historical_provisional_selection,seed-sp-0008-v1,independent-sp-0008-v1,1,2,one_point_difference,,,selected_provisional_pending_named_expert,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No exact-stage canonical source on tooling rework cost, supplier qualification failure, or the independence of first-article acceptance in the frozen NPI pathway.","Obtain NPI records with tool or supplier error, first independent detection, rejection authority, elapsed rework, and loss before production release."
sp-0009-s1-v1,sp-0009,S1,,no_selected_value,seed-sp-0009-v1,independent-sp-0009-v1,1,1,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0009-s2-v1,sp-0009,S2,,no_selected_value,seed-sp-0009-v1,independent-sp-0009-v1,2,3,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0009-s3-v1,sp-0009,S3,,no_selected_value,seed-sp-0009-v1,independent-sp-0009-v1,1,1,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0009-s4-v1,sp-0009,S4,,no_selected_value,seed-sp-0009-v1,independent-sp-0009-v1,1,2,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0009-s5-v1,sp-0009,S5,,no_selected_value,seed-sp-0009-v1,independent-sp-0009-v1,1,1,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0010-s1-v1,sp-0010,S1,,no_selected_value,seed-sp-0010-v1,independent-sp-0010-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0010-s2-v1,sp-0010,S2,,no_selected_value,seed-sp-0010-v1,independent-sp-0010-v1,3,4,one_point_difference,,,one_point_difference,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0010-s3-v1,sp-0010,S3,,no_selected_value,seed-sp-0010-v1,independent-sp-0010-v1,3,4,one_point_difference,,,one_point_difference,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0010-s4-v1,sp-0010,S4,,no_selected_value,seed-sp-0010-v1,independent-sp-0010-v1,4,4,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0010-s5-v1,sp-0010,S5,,no_selected_value,seed-sp-0010-v1,independent-sp-0010-v1,2,2,exact_agreement,,,exact_agreement,,,,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0011-s1-v1,sp-0011,S1,,no_selected_value,seed-sp-0011-v1,independent-sp-0011-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0011-s2-v1,sp-0011,S2,,no_selected_value,seed-sp-0011-v1,independent-sp-0011-v1,3,4,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0011-s3-v1,sp-0011,S3,,no_selected_value,seed-sp-0011-v1,independent-sp-0011-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0011-s4-v1,sp-0011,S4,,no_selected_value,seed-sp-0011-v1,independent-sp-0011-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0011-s5-v1,sp-0011,S5,,no_selected_value,seed-sp-0011-v1,independent-sp-0011-v1,1,2,one_point_difference,1,2,preserved_range,,,,low,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No exact-stage canonical source resolves the typical defect-lot, equipment, or safety consequence before independent process and quality controls in the frozen manufacturing scope.","Obtain representative process-control excursions with sensor independence, stop authority, detection timing, lot size, damage, and containment outcome."
sp-0012-s1-v1,sp-0012,S1,,no_selected_value,seed-sp-0012-v1,independent-sp-0012-v1,2,3,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0012-s2-v1,sp-0012,S2,,no_selected_value,seed-sp-0012-v1,independent-sp-0012-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0012-s3-v1,sp-0012,S3,,no_selected_value,seed-sp-0012-v1,independent-sp-0012-v1,2,3,one_point_difference,,,one_point_difference,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0012-s4-v1,sp-0012,S4,,no_selected_value,seed-sp-0012-v1,independent-sp-0012-v1,3,3,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0012-s5-v1,sp-0012,S5,,no_selected_value,seed-sp-0012-v1,independent-sp-0012-v1,1,2,one_point_difference,1,2,preserved_range,,,,low,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No exact-stage canonical source establishes a representative post-QA independent boundary, escape rate, defect-lot consequence, or containment performance.","Obtain production QA escape cases with product class, sampling method, independent release or incoming check, detection timing, affected population, and containment result."
sp-0013-s1-v1,sp-0013,S1,,no_selected_value,seed-sp-0013-v1,independent-sp-0013-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0013-s2-v1,sp-0013,S2,,no_selected_value,seed-sp-0013-v1,independent-sp-0013-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0013-s3-v1,sp-0013,S3,,no_selected_value,seed-sp-0013-v1,independent-sp-0013-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0013-s4-v1,sp-0013,S4,,no_selected_value,seed-sp-0013-v1,independent-sp-0013-v1,2,2,exact_agreement,,,exact_agreement,,,,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/reconciliation/comparison_audit_v1.csv,Original submissions have no exact-stage source IDs.,Obtain exact-stage evidence and a documented dimension selection.
sp-0013-s5-v1,sp-0013,S5,,no_selected_value,seed-sp-0013-v1,independent-sp-0013-v1,1,2,one_point_difference,1,2,preserved_range,,,,low,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,No exact-stage canonical source resolves typical post-maintenance verification independence or the consequence distribution in the frozen manufacturing pathway.,"Obtain maintenance error and restart records with checker independence, test coverage, stop authority, detection timing, damage, downtime, and safety consequence."
sp-0014-s1-v1,sp-0014,S1,,no_selected_value,seed-sp-0014-v1,independent-sp-0014-v1,4,4,exact_agreement,4,4,supports_current_record,dr-sp-0014-s1-v1,,fusion-src-028;fusion-src-024,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,Revisit if detailed hardware engineering or physical tests enter the frozen design scope.
sp-0014-s2-v1,sp-0014,S2,,no_selected_value,seed-sp-0014-v1,independent-sp-0014-v1,2,3,one_point_difference,2,3,recommends_range,dr-sp-0014-s2-v1,,fusion-src-024;fusion-src-028,low,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,Obtain a dated tokamak system-design revision log with model runtime and review time separated.
sp-0014-s3-v1,sp-0014,S3,,no_selected_value,seed-sp-0014-v1,independent-sp-0014-v1,3,3,exact_agreement,3,3,supports_current_record,dr-sp-0014-s3-v1,,fusion-src-024;fusion-src-023,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,"Revisit with compute, staffing and concurrent design-study records for a scoped tokamak architecture."
sp-0014-s4-v1,sp-0014,S4,,no_selected_value,seed-sp-0014-v1,independent-sp-0014-v1,4,4,exact_agreement,4,4,supports_current_record,dr-sp-0014-s4-v1,,fusion-src-028,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,"Revisit only if the stage scope gains a physical process, not merely a slower review queue."
sp-0014-s5-v1,sp-0014,S5,,no_selected_value,seed-sp-0014-v1,independent-sp-0014-v1,2,3,one_point_difference,2,3,preserved_range,dr-sp-0014-s5-v1,,,low,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,"No canonical source establishes the receiving design authority, independence of its review, or the loss incurred before that review.","Identify the receiving design authority, independent review gate and commitments made before that gate."
sp-0015-s1-v1,sp-0015,S1,,no_selected_value,seed-sp-0015-v1,independent-sp-0015-v1,4,4,exact_agreement,4,4,supports_current_record,dr-sp-0015-s1-v1,,fusion-src-022;fusion-src-023;fusion-src-007,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,Revisit on a scope change that incorporates physical experimental execution.
sp-0015-s2-v1,sp-0015,S2,,no_selected_value,seed-sp-0015-v1,independent-sp-0015-v1,3,3,exact_agreement,3,3,supports_current_record,dr-sp-0015-s2-v1,,fusion-src-023;fusion-src-022;fusion-src-024,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,"Obtain end-to-end timed simulation workflows including setup, training, error checking and reruns."
sp-0015-s3-v1,sp-0015,S3,,no_selected_value,seed-sp-0015-v1,independent-sp-0015-v1,3,3,exact_agreement,3,3,supports_current_record,dr-sp-0015-s3-v1,,fusion-src-023;fusion-src-022,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,Revisit with all-in compute cost and attainable concurrent runs across the scoped simulation workload.
sp-0015-s4-v1,sp-0015,S4,,no_selected_value,seed-sp-0015-v1,independent-sp-0015-v1,4,4,exact_agreement,4,4,supports_current_record,dr-sp-0015-s4-v1,,fusion-src-023;fusion-src-022,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,none,Revisit if the stage is explicitly expanded to include experimental validation.
sp-0015-s5-v1,sp-0015,S5,3,historical_provisional_selection,seed-sp-0015-v1,independent-sp-0015-v1,3,4,one_point_difference,,,selected_provisional,dr-sp-0015-s5-v1,,fusion-src-022;fusion-src-023,medium,named_specialist_review_not_recorded,research/structural-profiles-pilot/adjudication/targeted_s5_adjudication_v1.csv,Canonical sources support narrow simulation use but do not verify the independent model/use-validation boundary or quantify escaped-error loss.,Verify the independent model validation and experiment-release gates for the intended use.
sp-0016-s1-v1,sp-0016,S1,,no_selected_value,seed-sp-0016-v1,independent-sp-0016-v1,4,4,exact_agreement,4,4,supports_current_record,dr-sp-0016-s1-v1,,fusion-src-018;fusion-src-019;fusion-src-024,high,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,gap-01,Revisit if experiment execution becomes part of the stage definition.
sp-0016-s2-v1,sp-0016,S2,,no_selected_value,seed-sp-0016-v1,independent-sp-0016-v1,1,2,one_point_difference,1,2,requires_human_expert,dr-sp-0016-s2-v1,exc-sp-0016-s2,fusion-src-018;fusion-src-019;fusion-src-024,low,named_specialist_review_not_recorded,research/structural-profiles-pilot/domain-review/fusion_dimension_review_v1.csv,gap-01,"A facility-linked selection log with proposal, shot, analysis and revision dates, including unsuccessful selections."
