profile_id,stage_id,parent_stage_id,sector,workflow,pathway_id,application_context,lifecycle_phase,critical_path_role,S1,S2,S3,S4,S5,rationale,source_ids,coding_confidence,disagreement_summary,selected_review_ids,evidence_basis,coding_as_of,last_reviewed,revisit_triggers,proposed_by,proposed_model,reviewed_by,independent_review_by,approved_by,coding_status,review_status,version,changelog_note
sp-0011,production_and_process_control,not_applicable,Discrete manufacturing,Production and process control,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,low,S1: exact_agreement; selected=missing; S2: one_point_difference; selected=missing; S3: exact_agreement; selected=missing; S4: exact_agreement; selected=missing; S5: preserved_range; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0012,quality_assurance,not_applicable,Discrete manufacturing,Quality assurance,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,low,S1: one_point_difference; selected=missing; S2: exact_agreement; selected=missing; S3: one_point_difference; selected=missing; S4: exact_agreement; selected=missing; S5: preserved_range; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0013,maintenance_and_continuous_improvement,not_applicable,Discrete manufacturing,Maintenance and continuous improvement,discrete_manufacturing_npi_and_operations,"New-product introduction and operations in medium-to-high-volume discrete manufacturing, from product and process engineering through tooling, commissioning, quality, production, maintenance, and iterative improvement",operations,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,,low,S1: exact_agreement; selected=missing; S2: exact_agreement; selected=missing; S3: exact_agreement; selected=missing; S4: exact_agreement; selected=missing; S5: preserved_range; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0014,theory_and_system_design,concept_and_design,"Fusion, magnetic confinement",Theory and system design,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-023;fusion-src-024;fusion-src-028,low,S1: supports_current_record; selected=missing; S2: recommends_range; selected=missing; S3: supports_current_record; selected=missing; S4: supports_current_record; selected=missing; S5: preserved_range; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0015,simulation,digital_experiment_loop,"Fusion, magnetic confinement",Simulation,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,3,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-007;fusion-src-022;fusion-src-023;fusion-src-024,medium,S1: supports_current_record; selected=missing; S2: supports_current_record; selected=missing; S3: supports_current_record; selected=missing; S4: supports_current_record; selected=missing; S5: selected_provisional; selected=3,independent-sp-0015-v1;seed-sp-0015-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0016,experiment_selection,digital_experiment_loop,"Fusion, magnetic confinement",Experiment selection,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-018;fusion-src-019;fusion-src-024;missing,low,S1: supports_current_record; selected=missing; S2: requires_human_expert; selected=missing; S3: supports_current_record; selected=missing; S4: supports_current_record; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0017,diagnostics,plasma_operations,"Fusion, magnetic confinement",Diagnostics,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-008;fusion-src-009;fusion-src-020;fusion-src-021;fusion-src-029,low,S1: recommends_range; selected=missing; S2: insufficient_evidence; selected=missing; S3: recommends_range; selected=missing; S4: supports_current_record; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0018,plasma_control,plasma_operations,"Fusion, magnetic confinement",Plasma control,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-007;fusion-src-008;fusion-src-017;fusion-src-018;fusion-src-019;fusion-src-020,low,S1: supports_current_record; selected=missing; S2: supports_current_record; selected=missing; S3: recommends_range; selected=missing; S4: supports_current_record; selected=missing; S5: requires_human_expert; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0019,materials_discovery_and_screening,materials,"Fusion, magnetic confinement",Materials discovery and screening,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",research,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-027;fusion-src-028;missing,low,S1: recommends_range; selected=missing; S2: insufficient_evidence; selected=missing; S3: insufficient_evidence; selected=missing; S4: supports_current_record; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0020,materials_qualification,materials,"Fusion, magnetic confinement",Materials qualification,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-026;fusion-src-045;fusion-src-046,low,S1: recommends_value_change; selected=missing; S2: supports_current_record; selected=missing; S3: requires_pathway_variant; selected=missing; S4: supports_current_record; selected=missing; S5: preserved_range; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0021,magnets,plant_subsystems,"Fusion, magnetic confinement",Magnets,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-012;fusion-src-014,low,S1: supports_current_record; selected=missing; S2: requires_pathway_variant; selected=missing; S3: supports_current_record; selected=missing; S4: recommends_range; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0022,heating_and_current_drive,plant_subsystems,"Fusion, magnetic confinement",Heating and current drive,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-029;fusion-src-034,low,S1: supports_current_record; selected=missing; S2: requires_pathway_variant; selected=missing; S3: supports_current_record; selected=missing; S4: recommends_range; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0023,plasma_facing_components,plant_subsystems,"Fusion, magnetic confinement",Plasma-facing components,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-023;fusion-src-026;fusion-src-027;fusion-src-045,low,S1: supports_current_record; selected=missing; S2: insufficient_evidence; selected=missing; S3: recommends_range; selected=missing; S4: requires_human_expert; selected=missing; S5: preserved_range; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0024,tritium_and_fuel_cycle,plant_subsystems,"Fusion, magnetic confinement",Tritium and fuel cycle,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-028;fusion-src-038,low,S1: recommends_range; selected=missing; S2: supports_current_record; selected=missing; S3: supports_current_record; selected=missing; S4: requires_human_expert; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0024-v1;seed-sp-0024-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0025,blankets,plant_subsystems,"Fusion, magnetic confinement",Blankets,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",development,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-028;fusion-src-038;fusion-src-045,low,S1: supports_current_record; selected=missing; S2: requires_human_expert; selected=missing; S3: supports_current_record; selected=missing; S4: requires_pathway_variant; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0025-v1;seed-sp-0025-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0026,component_fabrication,build,"Fusion, magnetic confinement",Component fabrication,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",scale_up,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-014;fusion-src-037,low,S1: recommends_value_change; selected=missing; S2: supports_current_record; selected=missing; S3: recommends_range; selected=missing; S4: supports_current_record; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0027,construction,build,"Fusion, magnetic confinement",Construction,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-036;fusion-src-037,medium,S1: supports_current_record; selected=missing; S2: recommends_value_change; selected=missing; S3: supports_current_record; selected=missing; S4: supports_current_record; selected=missing; S5: supports_current_record; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0028,commissioning,demonstration_and_assurance,"Fusion, magnetic confinement",Commissioning,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-033;fusion-src-034;fusion-src-036,low,S1: supports_current_record; selected=missing; S2: recommends_range; selected=missing; S3: supports_current_record; selected=missing; S4: supports_current_record; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0028-v1;seed-sp-0028-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0029,reliability_demonstration,demonstration_and_assurance,"Fusion, magnetic confinement",Reliability demonstration,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-011;fusion-src-032;missing,low,S1: supports_current_record; selected=missing; S2: requires_human_expert; selected=missing; S3: supports_current_record; selected=missing; S4: supports_current_record; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0029-v1;seed-sp-0029-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0030,licensing,approval_and_connection,"Fusion, magnetic confinement",Licensing,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",qualification,not_assessed,,,,,,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-004;fusion-src-039;fusion-src-040,low,S1: supports_current_record; selected=missing; S2: requires_jurisdiction_variant; selected=missing; S3: requires_jurisdiction_variant; selected=missing; S4: supports_current_record; selected=missing; S5: preserved_disagreement; selected=missing,,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
sp-0031,grid_integration,approval_and_connection,"Fusion, magnetic confinement",Grid integration,tokamak_research_to_pilot_plant_demonstration,"Tokamak research through component and subsystem development, materials qualification, facility build, commissioning, integrated demonstration, and pilot-plant readiness",demonstration,not_assessed,,,,,1,Derived representation only. Read all five linked dimension dispositions and original review rationales.,fusion-src-031;missing,low,S1: supports_current_record; selected=missing; S2: insufficient_evidence; selected=missing; S3: requires_pathway_variant; selected=missing; S4: requires_pathway_variant; selected=missing; S5: selected_provisional_pending_named_expert; selected=1,independent-sp-0031-v1;seed-sp-0031-v1,expert-coded,2026-09-03,2026-09-03,Obtain missing stage evidence and actual specialist review; revisit the exact linked dimension.,"Codex; derived projection, no new coding",missing: runtime model identifier not asserted,See historical records; release selection review pending,Codex / gpt-5.6; original model submission only,,disputed,staged,1.1,2026-09-06 reader projection; unselected stays null; model endpoints are not empirical intervals.
